id,locale,current,proposed,reason,confidence,requires_user_decision
internal_project_name,ko,,Project_Solomon,"NEW row. Internal/dev codename. Locked across all locales. Not used as public-facing title in any UI surface — package metadata / Steam app config / repo identifier only.",high,false
internal_project_name,en,,Project_Solomon,"NEW. Locked.",high,false
internal_project_name,ja,,Project_Solomon,"NEW. Locked.",high,false
internal_project_name,zh-CN,,Project_Solomon,"NEW. Locked.",high,false
brand_title,ko,,솔로몬의 딜레마,"NEW row. Public-facing in-game title (top half of title + subtitle structure). Locked. PROJECT_CONTROL_TOWER decision 2026-05-06.",high,false
brand_title,en,,Verdict Zero,"NEW. Locked. PROJECT_CONTROL_TOWER decision: avoid Solomon-based naming for EN to prevent religious/biblical reading. Verdict Zero conveys judge/wisdom theme.",high,false
brand_title,ja,,ソロモンのジレンマ,"NEW. Locked.",high,false
brand_title,zh-CN,,真相裁决,"NEW. Locked. PROJECT_CONTROL_TOWER decision: rejects 所罗门的法庭 and 所罗门的两难. Use natural localized title — 真相裁决 conveys truth / verdict theme.",high,false
brand_subtitle,ko,,진실의 재판,"NEW row. Public-facing subtitle. Locked.",high,false
brand_subtitle,en,,Trial of Truth,"NEW. Locked.",high,false
brand_subtitle,ja,,真実の裁き,"NEW. Locked.",high,false
brand_subtitle,zh-CN,,零点审判,"NEW. Locked.",high,false
brand_full_title,ko,,솔로몬의 딜레마: 진실의 재판,"NEW row. Locked. Joined form (title + ' : ' + subtitle). KO/EN use Roman colon `:`.",high,false
brand_full_title,en,,Verdict Zero: Trial of Truth,"NEW. Locked.",high,false
brand_full_title,ja,,ソロモンのジレンマ：真実の裁き,"NEW. Locked. Note JA uses full-width colon `：` per JIS punctuation convention.",high,false
brand_full_title,zh-CN,,真相裁决：零点审判,"NEW. Locked. Note zh-CN uses full-width colon `：`.",high,false
project_solomon,ko,Project Solomon,(deprecate as user-facing — use internal_project_name only),"PROJECT_CONTROL_TOWER decision: do not use Project Solomon as the in-game public title. Glossary row remains for engine/dev references via internal_project_name. Mark current row as locked + note ""never user-facing"".",high,false
record_summary,ko,기록 요약,기록 정리,"All UI surfaces (court.recordSummary / token.recovery.records.title / right-panel) render 기록 정리. Glossary KR field is wrong. Confirmed by Thread-01 + Thread-02 audits.",high,false
record_summary,en,Record Summary,Records,"Floating right-panel toggle and panel title both render Records. Record Summary overflows.",high,false
record_summary,ja,記録要約,記録の整理,"Once KO source is updated to 기록 정리, JA target follows. Matches PC UI rendering.",high,false
record_summary,zh-CN,记录摘要,记录整理,"Cross-locale alignment.",medium,false
solution,ja,解決案,解決策,"PC UI verdict step uses 解決策 (more natural for game UI choice copy). 解決案 may still appear in formal verdict text.",medium,false
investigation_token,zh-CN,调查代币,调查点数,"代币 reads like crypto/casino token in modern CN. 调查点数 reads as natural game-UI resource.",medium,false
trust,zh-CN,信任度,信任,"All in-UI surfaces use base 信任. 信任度 reserved for tooltip-only descriptive form.",medium,false
