source_ko,proposed_zh_cn,context,path_or_key,relation_to_ui_glossary,risk,notes
재판관님,裁判官,"NPC/party direct address to the judge across all dialogue surfaces.",dialogues/phase1/spouse-01.json:speaker=a/b,extends,low,"UI glossary has judge=裁判官. Direct address ""재판관님"" carries respectful 님 honorific. Recommended: drop 님 in zh-CN since 裁判官 alone reads as the proper formal address; alt 法官大人 sounds Chinese-court-drama-like and is too heavy. Confirm before bulk apply."
이준호 씨 / 박지연 씨,"李俊昊先生 / 朴智妍女士",NPC names + 씨 honorific used in judge questions and dialogue.,scriptedAngles/spouse-01_judge_questions.json,new_script_term,medium,"씨 honorific = neutral. zh-CN convention: 先生/女士 (gender-marked). Need PROJECT_CONTROL_TOWER decision for whether to keep gender markers or use 名字+씨-equivalent neutral form. Names romanized using standard pinyin/transliteration table — needs separate rules."
자기야 / 자기,亲爱的 / 老公 / (omit),Spouse-internal address. Used by A→B in spouse-01 phase1.,dialogues/phase1/spouse-01.json,new_script_term,high,"Korean 자기 in spousal context = casually intimate. Possible options: 亲爱的 (general), 老公 (specifically husband, gender-loaded), or natural omission. Strongly affects emotional register; pilot uses 老公 once (B is husband). PROJECT_CONTROL_TOWER decision needed."
오피스텔,公寓 / 写字楼公寓,"Korean compound = small studio apartment in mixed-use building. Appears throughout spouse-01 (visit-frequency dispute).",cases/generated/spouse-01.json: evidence/disputes,new_script_term,medium,"오피스텔 has no exact zh-CN equivalent. 公寓 (apartment) loses the studio/mixed-use nuance; 写字楼公寓 verbose. Pilot uses 公寓 since downstream meaning (private dwelling visited regularly) is what matters."
새벽 통화,深夜通话 / 凌晨通话,"Korean 새벽 = pre-dawn (~3-5 AM). Used as suspicion trigger in spouse-01.",cases/generated/spouse-01.json,new_script_term,low,"Recommend 凌晨通话 to convey ""middle of the night"" tone."
블랙박스 / 네비 즐겨찾기,行车记录仪 / 导航收藏夹,Driving artifacts in spouse-01 evidence.,cases/generated/spouse-01.json: evidence e-2,new_script_term,low,"Standard zh-CN automotive vocabulary."
영수증 묶음,收据 / 一沓收据,Evidence e-1 surface name.,cases/generated/spouse-01.json,new_script_term,low,"Pilot uses 一沓收据 to keep ""bundle of 5"" connotation."
조카 / 친형 / 형,侄子(or 外甥) / 亲哥 / 哥,"spouse-01 hidden truth lexemes — must NOT appear on judge/system/dossier channels before S5.",disclosure-policy §4.1,conflicts,critical,"These zh-CN forms ARE the truth lexemes equivalent. Translation MUST replicate the surface-only block: judge/system never says 哥/侄子 before NPC S5 confession. 친형 vs 형: in spouse-01, B always refers to ""형"" (older brother). 조카 = nephew (assume male/middle-school). Critical for truth boundary."
가족,家人,Generalized family-cover used by B in S0-S2 to deflect.,multiple,extends,medium,"Glossary already covers relationships. 가족 used as deflection vocabulary must remain ambiguous (doesn't reveal 哥/侄子 specifically). 家人 preserves the abstraction."
시댁,夫家 / 婆家,"Korean term for in-laws (husband's parents). Mentioned in spouse-01 phase1 by A.",dialogues/phase1/spouse-01.json,new_script_term,medium,"夫家 more neutral; 婆家 connotes wife's perspective (apt here since A=wife)."
공동 적금 / 적금 해지,共同储蓄 / 解约储蓄,"spouse-01 d-2 hidden truth — joint savings termination via forged proxy.",cases/generated/spouse-01.json: e-7,new_script_term,medium,"Truth-leak watch: surface label is ""공동 적금 해지 서류"" — translate as 共同储蓄解约文件. Hidden lexeme ""위임장 조작"" stays blocked from judge/system."
위임장 조작 / 투자 사기,委托书伪造 / 投资诈骗,"spouse-01 hidden truth — forbidden lexemes per disclosure-policy §4.1.",disclosure-policy,conflicts,critical,"Block list. zh-CN guard wrapper must reject these before S5. Translator must NOT introduce them in judge/system channels."
비자금,小金库,"spouse-01 d-2 surface term — B's private fund.",cases/generated/spouse-01.json,new_script_term,low,"Standard slang for private/secret fund."
유서 / 공증본 / 자필,遗嘱 / 公证副本 / 手书,"family-01 lexicon (will + notarized copy + handwritten).",cases/generated/family-01.json,new_script_term,low,"Standard legal Chinese."
60대 40 / 60:40,六比四 / 60:40,"family-01 inheritance ratio reference.",cases/generated/family-01.json,needs_decision,medium,"Forbidden as direct ratio per family-01 paraphrase set. Use abstracted ""比例"" wording in judge/system. Translator must mirror the abstraction discipline."
