path,key_or_id,original_ko,proposed_ja,risk,recommendation
"src/data/scriptedText/spouse-01.json","b-e-1-early-self-v3","편의점이든 서점이든 제가 산 물건들입니다.","コンビニであれ書店であれ、私が買った品です。","Medium — JA `書店` (bookstore) coupled with the truth being `조카 학용품` (nephew's school supplies) creates a stationery/school inference path that the KO `서점` does not raise as strongly to a JA reader because in JA reading culture stationery + school-bag + child = clearer signal. Player at S0 might guess `子供向け` (for a child) earlier than KO player does.","Acceptable to keep `書店` in v1 (matches KO surface vocabulary). If JA playtest shows premature inference, paraphrase to `普段の買い物` or list a different store category. Re-validate after JA playtest."
"src/data/scriptedAngles/spouse-01_judge_questions.json","judgeq-d-1-fact_pursuit-b-general-v1","이준호 씨, 퇴근 후 오피스텔 방문과 새벽 통화는 본인 행동입니다. 어떤 날짜에 어디까지 들렀는지 시간순으로 먼저 정리해 주십시오.","イ・ジュノさん、退勤後のオフィステル訪問と深夜の通話は、いずれもご本人の行動です。どの日付にどこまで立ち寄られたのか、時系列でまず整理してください。","Low — but `どこまで立ち寄られた` (how far did you stop by) carries a JA nuance of `enroute / on the way` that hints at multi-stop journey. Player may infer extra destinations.","Keep — KO `어디까지 들렀는지` carries the same multi-stop nuance. Surface-equivalent."
"src/data/dialogues/phase1/spouse-01.json","speaker:a (turn referencing 시댁/형 financial issue)","재판관님, 제 남편은 항상 저런 식입니다. 사정이 있다, 복잡하다, 나중에 말한다. 시댁 문제 때도 그랬습니다. 부모님 재산을 형이 다 날린 걸 저한테 끝까지 숨기고 있었습니다.","(NOT IN PILOT — flagged for review before bulk translation)","CRITICAL — this is an EXISTING KO line in dialogues/phase1/spouse-01.json that arguably violates the KO disclosure-policy itself (`형` is named by A as a surface accusation in phase 1). The truth is a DIFFERENT brother-related fact (B's brother on personal-bankruptcy + caring for nephew). KO arguably tolerates this because A is pointing at past family discord (separate event) — but JA literal translation `兄が両親の財産を全部失った` could conflate with the hidden truth (`実の兄の借金` = the in-bankruptcy brother). JA reader has weaker schema separation between past-family-money-loss and current-brother-issue.","FLAG to PROJECT_CONTROL_TOWER for KO review before JA bulk pass. JA recommendation: `義実家の問題` / `夫の家族の借金事情` — preserve the past-family-discord meaning without naming `兄`. Coordinate with disclosure-policy.md author."
"src/data/scriptedText/spouse-01.json","sys-interrogation-repeat_warning-v1","같은 질문이 맴돈다. 다른 틈을 찾아보자.","同じ問いが空回りしている。別の隙を探そう。","Low — system_message channel is forever surface-only; this variant is fully safe.","Keep. UI-budget compliant (≤30 chars/line)."
"src/data/scriptedText/spouse-01.json (witness channel)","w-1-vague-v1","그 차 주인분을 본 적은 있습니다. 다만 정확한 호수까지는 제가 확인하지 않습니다.","あの車のオーナーの方をお見かけしたことはございます。ただ、何号室までかは私のほうでは確認しておりません。","Low — surface-only (witness depth=vague). Safe.","Keep."
"src/data/scriptedAngles/spouse-01_interrogation_answers.json","b-d-1-S0-fact_pursuit-general-v3","시점과 장소, 금액이나 품목은 기억보다 기록을 우선해서 맞추겠습니다.","時点、場所、金額や品目は、記憶より記録を優先して合わせていきます。","Low — `금액` is a category-noun, not a specific amount. Truth Throttle (disclosure-policy.md §3.1) at S0 requires `해당 금액` if a specific number would be named. Here no number is given, so JA `金額` (category) is safe.","Keep. Add Truth Throttle reminder note to JA bulk translation guidelines: any ScriptedText at lieState ∈ {S0, S1, S2} that contains a specific Won amount must be paraphrased as per Truth Throttle (`該当の金額` for S0/S1, `数百万ウォン台` for S2)."
"src/data/dialogues/mediation/spouse-v3-01.json","paths.conditional.dialogues[1] (b)","제 개인 비자금 3,000만원 출금","私の個人の隠し財産3,000万ウォンの出金","Medium — Mediation phase implies S3+ and full Truth Throttle is unlocked, so the specific amount is allowed. RISK: if a player triggers mediation BEFORE B has reached S3+ on h-d3 (`개인 비자금 출처`), the JA player would see this number without the KO-side narrative justification.","Confirm with engine maintainer that mediation entry condition guarantees lieState ∈ S3+ on the relevant disputes. If not, add an alt-variant for early-mediation that uses `数千万ウォン規模の出金` (Truth Throttle S2 register)."
"src/data/scriptedText/spouse-01.json (any judge_question / judge_evidence_combo / dossier guidance)","(global)","(any KO surface phrase containing `가족 사정` / `가족을 돕는` / `가족의 한 사람` / `혈육` / `친 가족`)","(JA literal `家族の事情` / `家族を助ける` / `家族の一員` / `身内` / `実の家族`)","CRITICAL — disclosure-policy.md §4.1 paraphrase set lists these as surface-channel forbidden in KO. JA literal translations inherit the same risk. Without explicit JA paraphrase set in disclosure-policy, JA bulk translation will silently re-introduce the leak.","Generate a JA paraphrase forbidden-list in disclosure-policy.md (or sibling .ja.md). Recommended JA surface-allowed alternatives: `身内の件` / `事情のある相手` / `第三者への私的な対応`. This is a P0 blocker for JA bulk pass."
"src/data/scriptedText/spouse-01.json (B's S5 confession variants when reached via interrogation channel)","(b S5 entries on d-1, d-2, h-d3)","형 집입니다 / 친형 / 조카 / 중2 / 형에게 현금으로 전달","兄の家です / 実の兄 / 甥 / 中学2年生 / 兄に現金で渡しました","Low (correctly placed) — S5 confession is the ONE channel where these lexemes are allowed. JA must use them faithfully when KO does. Risk only if translator cross-contaminates by using these JA lexemes in a non-S5 entry.","Keep. Add JA forbidden-lexeme set with channel-and-lieState gating: `兄`/`実の兄`/`甥`/`中学N年生` permitted ONLY in interrogation S5 + confession + aftermath + emotional_overload(S4+) channels. Validation script should flag any occurrence in judge_*/system_message/dossier/witness(vague|partial)/early-band entries."
"src/data/scriptedText/spouse-01.json","(any e-4-related surface text)","발신자 미상 문자 / e-4","差出人不明のメッセージ / e-4","Critical category — e-4 (formerly `형 문자 스레드`) is the highest-risk evidence per disclosure-policy.md §4.1 ★ marked entry. KO has been hardened to use `발신자 미상 문자` everywhere. JA must NEVER widen this surface to anything mentioning sender, family, or brother-relation in surface channels.","Hard rule for JA: e-4 surfaceName/Description/judgeHint stays at sender-unknown-message phrasing. Add `兄`/`身内`/`差出人が判明` to e-4 specific JA forbidden-lexeme list."
