row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,applied_text,applied_decision
case_surface_content_src_data_cases_generated_friend-01_meta.anchorTruth,"최수민은 예비신랑을 꼬시려 한 게 아니라 경고하려 했고, 그보다 오래전에는 송다은 아버지에게 당한 일을 말하지 못한 채 스스로 악역이 되었다.","Choi Soo-min did not try to seduce the bride-to-be, but tried to warn her, and long before that, she became a villain herself, unable to tell what happened to Song Da-eun's father.",case_surface_content,D2,P0,"Choi Su-min was not trying to seduce Da-eun's fiance; she was trying to warn him. Long before that, unable to tell Song Da-eun what her father had done to her, she took the villain role herself.","Choi Su-min did not try to tempt the fiance; she tried to warn him. Earlier, she became the villain because she could not tell Da-eun what Da-eun's father had done to her.",a,0.97,Core truth summary reverses the target as bride-to-be/her and misstates what happened to Song Da-eun's father.,"Choi Su-min was not trying to seduce Da-eun's fiance; she was trying to make him cautious. Long before that, unable to tell Song Da-eun what her father had done to her, she accepted the blame herself.",p0:applied_truth_leak_guard_retouched
case_surface_content_src_data_cases_generated_friend-01_evidence_e-4_.viewerData.chat.pages_1_.messages_1_.text,"수민 씨, 혹시 다은이한테 바로 말하기 애매한 거 하나만 물어봐도 돼요?","Sumin, can I ask Da-eun something that is difficult to say right away?",case_surface_content,D2,P0,"Su-min, can I ask you one thing that is awkward to say directly to Da-eun?","Su-min, there is one thing I am not sure how to say to Da-eun directly. Can I ask you?",a,0.96,"Recipient/object is wrong: source asks Su-min about something hard to tell Da-eun, target says ask Da-eun.","Su-min, can I ask you one thing that is awkward to say directly to Da-eun?",p0:applied_option_a
case_surface_content_src_data_cases_generated_friend-01_evidence_e-4_.viewerDataByStage.2.chat.messages_1_.text,"수민 씨, 혹시 다은이한테 바로 말하기 애매한 거 하나만 물어봐도 돼요?","Sumin, can I ask Da-eun something that is difficult to say right away?",case_surface_content,D2,P0,"Su-min, can I ask you one thing that is awkward to say directly to Da-eun?","Su-min, there is one thing I am not sure how to say to Da-eun directly. Can I ask you?",a,0.95,Same e-4 staged text mistranslates the person being asked.,"Su-min, can I ask you one thing that is awkward to say directly to Da-eun?",p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v1_.text,"그쪽에서 사적인 말을 꺼낸 건 맞습니다. 저는 거절했고, 더 번지지 않게 하려 했습니다.","I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. I have been trimming my answers, and I see that the trimming itself is part of the doubt.",non_party_scripted_text,D2,P0,"The other side did bring up something private. I refused, and I tried to keep it from spreading further.",He did bring up something private. I refused it and tried to stop it from going any further.,a,0.95,Specific admission about private overstep/refusal is replaced by generic framing language.,"The other side did bring up something private. I refused, and I tried to keep it from spreading further.",p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v2_.text,커피를 보자는 식의 말이 있었습니다. 바로 말하면 다은이가 무너질까 봐 망설였습니다.,"If I am being honest with the court, I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. I admit to part of the picture, and I will not stretch that admission to cover the rest.",non_party_scripted_text,D2,P0,There was a line about meeting for coffee. I hesitated because saying it right away might break Da-eun more.,He suggested coffee. I hesitated because telling Da-eun immediately might hurt her even more.,a,0.95,Concrete content about coffee invitation and hesitation is omitted.,There was a line about meeting for coffee. I hesitated because saying it right away might break Da-eun more.,p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v3_.text,저는 선을 그었습니다. 그런데 그걸 보여주면 다은이는 저까지 같이 볼까 두려웠습니다.,"Speaking plainly to the bench, I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. What I can confirm, I will. What I am still working out, I will mark as unfinished.",non_party_scripted_text,D2,P0,"I drew a line. But I was afraid that if I showed it, Da-eun would see me as involved too.","I set a boundary, but I was afraid Da-eun would see me as part of it if I showed her the record.",a,0.94,Boundary-setting meaning is replaced by generic partial-admission template.,"I drew a line. But I was afraid that if I showed it, Da-eun would see me as involved too.",p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v4_.text,"대화 원본은 제게 유리했지만, 다은이에게는 잔인한 자료라고 생각했습니다.","I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. I am no longer denying that there is something I held back — only how to put it.",non_party_scripted_text,D2,P0,"The original conversation helped me, but I thought it would be cruel material for Da-eun.","The original chat would have helped me, but I thought showing it would be cruel to Da-eun.",a,0.95,Target loses the key reason the evidence was withheld.,"The original conversation helped me, but I thought it would be cruel material for Da-eun.",p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v5_.text,예비신랑 쪽 말이 가벼운 농담으로 끝날지 확신이 없었습니다. 그래서 먼저 막으려 했습니다.,"If I am being honest with the court, I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. The shape of what I held back is becoming clearer to me as I speak.",non_party_scripted_text,D2,P0,"I was not sure the fiance's words would end as a light joke, so I tried to stop it first.","I was not sure his words would stop at a light joke, so I tried to stop it first.",a,0.94,Specific risk and preventive motive are missing.,"I was not sure the fiance's words would end as a light joke, so I tried to stop it first.",p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v6_.text,제가 그 대화를 꺼내면 결혼을 깨려는 사람으로 보일까 봐 참았습니다.,"Speaking plainly to the bench, I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. I am sorting it as I go, and I ask for the patience to keep sorting.",non_party_scripted_text,D2,P0,I held back because bringing up that conversation might make me look like someone trying to break the wedding.,I kept quiet because showing that conversation might make me look like I was trying to break up the wedding.,a,0.95,Source's wedding-breaking fear is replaced by generic sorting language.,I held back because bringing up that conversation might make me look like someone trying to break the wedding.,p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v7_.text,예비신랑의 말투가 선을 넘었다고 느꼈습니다. 그래도 다은이에게 바로 말하지 못했습니다.,"I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. I will admit responsibility for what I admitted to; I will not stretch it past that.",non_party_scripted_text,D2,P0,"I felt the fiance's tone crossed a line. Still, I could not tell Da-eun right away.","I felt his tone had crossed a line, but I still could not tell Da-eun right away.",a,0.95,Line-crossing admission is lost.,"I felt the fiance's tone crossed a line. Still, I could not tell Da-eun right away.",p0:applied_option_a
non_party_scripted_text_src_data_scriptedText_friend-01_channels_dossier_.entries_dc-2.b.q1_mid_.variants_dc-2-b-q1-mid-v8_.text,거절한 기록은 있었습니다. 하지만 그 기록을 내미는 방식도 폭력이 될 수 있다고 봤습니다.,"If I am being honest with the court, I admit my framing has stayed narrow, and the narrowness is part of why this room is reading me wrongly. I see now that my partial answers fed the worst reading.",non_party_scripted_text,D2,P0,There was a record of my refusal. But I thought the way I presented that record could also become violence.,"There was a record showing I refused, but I thought presenting it could hurt Da-eun too.",a,0.93,Refusal record and concern about presentation are omitted.,There was a record of my refusal. But I thought the way I presented that record could also become violence.,p0:applied_option_a
