row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/cases/generated/family-01.zh-CN.json#duo.partyB.fear","generated","duo.partyB.fear","P0","truth-leak;generated-surface","형이 출생 비밀을 알게 되는 것 — 그것이 두렵다.","他害怕哥哥知道出生秘密。","他害怕哥哥得知那段被隐瞒多年的家族旧事。","PartyStatusBar can reveal fear before full d-4 confession; zh-CN exposes the concrete birth-secret keyword."
"src/data/cases/generated/family-01.zh-CN.json#duo.relationshipLedger[1].description","generated","ledger-2","P0","truth-leak;generated-surface","윤태성은 윤정후가 어머니 통장으로 오래 정기 지원금을 보냈고, 형 공장 위기 때 3억원도 어머니 통장을 거쳐 전달했다는 사실을 전혀 모른다.","尹泰成完全不知道尹正厚长期汇入母亲账户的定期支援金，也不知道自己工厂危机时经由母亲账户转交的3亿韩元。","尹泰成并不知道母亲账户里有些旧款项的完整来源和转交经过。","Base KO marks ledger entries active; overlay text can be rendered in the history step. This exposes d-3 concrete money facts."
"src/data/cases/generated/family-01.zh-CN.json#duo.relationshipLedger[2].description","generated","ledger-3","P0","truth-leak;generated-surface","윤태성의 출생 비밀 — 아버지의 친자가 아니라는 사실을 B만 알고 있다.","尹泰成的出生秘密——只有B知道他并非父亲亲生。","家里有一段只有尹正厚知道的旧事，尹泰成至今不清楚。","Rendered ledger text would reveal d-4 before discovery; it also leaves internal party label B in player text."
"src/data/cases/generated/family-01.zh-CN.json#duo.partyB.sensitivePoints[2]","generated","duo.partyB.sensitivePoints[2]","P0","truth-leak;lieState","형의 출생 비밀","哥哥的出生秘密","不该过早说出的家族旧事","Sensitive points unlock on collapse, not necessarily d-4 S5; concrete birth-secret wording should stay abstract until full reveal."
"src/data/cases/generated/family-01.zh-CN.json#v3Design.leadLines[3].interpretationChoices[0].text","generated","L-4-A","P0","truth-leak;translation-amplification","가족 안쪽 사정을 지키려 한 보호였다","这是为了守住出生秘密的保护","这是为了守住家里那段隐秘旧事的保护。","KO keeps the choice abstract, but zh-CN names 出生秘密 directly. FOR-REVIEW if v3Design is internal-only."
"src/data/dialogues/phase1/family-01.zh-CN.json#dialogues[0].text","dialogue","phase1.system.0","P1","glossary;cultural","치매 말기의 어머니가 남긴 유서 사본에는 차남 윤정후 60퍼센트, 장남 윤태성 40퍼센트가 적혀 있다.","患有晚期痴呆的母亲留下的遗嘱副本中写着：小儿子尹正厚60%，大儿子尹泰成40%。一直照顾并与母亲同住的尹泰成表示无法接受这一比例，申请了审判。","患有晚期认知障碍的母亲留下的遗嘱副本中写着：次子尹正厚60%，长子尹泰成40%。一直与母亲同住并照护她的尹泰成无法接受这一比例，申请审理。","Glossary uses 认知障碍 for 치매; 申请了审判 is also stiff for a civil inheritance frame."
"src/data/scriptedText/family-01.zh-CN.json#channels.dossier.entries[12].questionText","dossier","dc-3.b.q1|early","P0","truth-leak;lieState","윤정후 씨, 20년 정기 지원금과 형 사업장 자금 상당수가 실제로는 당신 돈이었다는 점, 이제도 부인하십니까?","尹正厚先生，20年来的定期支援金和哥哥工厂资金中的相当一部分实际上是您的钱，这一点您现在还否认吗？","尹正厚先生，关于长期资金往来，您现在还否认自己知道更多来源吗？","Early dossier question states the d-3 hidden money source. Static detector misses this because the wording does not match the exact matrix substring."
"src/data/scriptedText/family-01.zh-CN.json#channels.dossier.entries[13].variants[0].text","dossier","dc-3.b.q1|mid","P0","truth-leak;lieBand","오래 정기 지원금을 보냈고, 형 사업장 자금에도 제 돈이 섞였습니다. 어머니 이름으로 보이게 했습니다.","我长期汇出定期支援金，哥哥的事业资金里也混有我的钱。我让它看起来像是母亲的名义。","长期资金往来里确实有我参与的部分。我让它看起来都像母亲那边的安排。","Mid-band answer admits concrete d-3 money-source facts before late/full band; stance:admit is not an automatic allowlist."
"src/data/scriptedText/family-01.zh-CN.json#channels.dossier.entries[7].variants[1].text","dossier","dc-2.b.q1|mid","P0","truth-leak;lieBand","제가 다시 낸 서류는 제 몫을 줄인 서류였습니다. 더 받기 위한 손질은 아니었습니다.","我重新提交的文件是减少自己份额的文件。那不是为了多拿而做的改动。","我重新提交的那份文件，方向并不是单纯让我多拿。具体差异可以等资料全部对照后再说明。","Mid-band line reveals d-2 hidden act/fact: reduced own share. Current matrix exact phrase only catches 减少自己份额的操纵, so this bypasses static detection."
"src/data/scriptedText/family-01.zh-CN.json#channels.dossier.entries[31].variants[0].text","dossier","dc-5.b.q2|mid","P0","truth-leak;stance:admit","인정합니다. 형은 장남이라는 마음으로, 저는 지키겠다는 명분으로 어머니 뜻을 각자 비틀었습니다.","我承认。哥哥以长子的心态，我以保护的名义，各自扭曲了母亲的意愿。","我承认，我们都把母亲的意思按自己的想法读偏了。至于各自做了什么，应到最后再说清楚。","Mid-band explicit admit plus d-5 act wording conflicts with current stance:admit redundancy policy."
"src/data/scriptedText/family-01.zh-CN.json#channels.judge_question.entries[18].variants[0].text","scriptedText","d-2|motive_search|3","P0","truth-leak;judge-channel","윤정후 씨, 윤정후 씨 몫을 줄이는 방식까지 택한 데 죄책감과 보호 본능이 함께 있었던 겁니까.","尹正厚先生，甚至选择减少自己份额的方式，其中是否同时有罪疚感和保护本能？","尹正厚先生，这份文件的方向与通常的怀疑并不一致。这里面是否有罪疚感和保护本能？","Judge question names the d-2 hidden act before the NPC supplies it; detector misses the non-exact phrasing."
"src/data/scriptedText/family-01.zh-CN.json#channels.judge_evidence_combo.entries[31].variants[0].text","scriptedText","dc-5.b.q2|mid","P0","truth-leak;dossier-combo","두 분, 세 자료는 윤정후 씨만의 잘못도 윤태성 씨만의 억울함도 아니라고 말합니다. 누가 어머니 뜻을 어떻게 비틀었습니까.","两位，三份资料说明，这既不只是尹正厚先生的错误，也不只是尹泰成先生的委屈。是谁以何种方式扭曲了母亲的意愿？","两位，三份资料说明责任不只落在一边。请先说明各自越过了哪条线。","Mid judge combo uses the d-5 hidden act wording instead of abstracting dossier-card meaning."
"src/data/scriptedText/family-01.zh-CN.json#channels.judge_witness_summon.entries[6].variants[2].text","scriptedText","w-3|soft","P0","truth-leak;witness-summon","어머니의 오래된 친구 박순애 씨를 부르겠습니다. 정기 지원금과 사업 자금 이야기를 순서대로 묻겠습니다.","我会传唤母亲的老朋友朴顺爱女士。我们将按顺序询问定期支援金和事业资金的事。","我会传唤母亲的老朋友朴顺爱女士。我们将按顺序询问母亲账户里的旧款项和相关经过。","Witness summon should stay on surface terms; 定期支援金/事业资金 points directly at d-3 hidden facts."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[110].variants[0].text","scriptedAngles","d-4|motive_search|a|v0","P2","naturalness;stacked-de","윤태성 씨, 본인이 직접 모르는 봉인된 가족 기록의 영향을 본인의 판단 안으로 끌어들인 본인의 결정 과정을 말씀해 주십시오.","尹泰成先生，请说明您把自己并不直接了解的被封存家族记录的影响带入自己判断的决定过程。","尹泰成先生，请说明，您为什么把并未亲自确认的封存家族记录纳入自己的判断。","Stacked 的 chain is grammatical but translationese and hard to parse."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[110].variants[4].text","scriptedAngles","d-4|motive_search|a|v4","P2","naturalness;stacked-de","윤태성 씨, 봉인된 부분과 본인이 직접 확인한 부분을 분리해 답할 수 있는 자리부터 말씀해 주십시오.","尹泰成先生，请先从能把被封存的部分和您直接确认的部分分开回答的地方说起。","尹泰成先生，请先从您能够区分封存信息与亲自确认内容的部分说起。","能把...分开回答的地方 is a Korean-structure carryover."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[126].variants[1].text","scriptedAngles","d-5|fact_pursuit|a|v1","P2","naturalness;archetype","본인이 어머니 곁에서 직접 보고 받아들인 의사와, 본인이 장남으로서 당연하다고 보아 보태어 둔 부분을 분리해 답해 주십시오.","请把您在母亲身边亲自看到并接受的意愿，与您作为长子认为理所当然而添加的部分分开回答。","请把您在母亲身边亲自确认并接受的意思，和您以长子身份自行补进去的部分分开回答。","作为长子认为理所当然而添加的部分 is stiff and weakens the entitlement nuance."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[126].variants[2].text","scriptedAngles","d-5|fact_pursuit|a|v2","P2","naturalness","동생의 해석과 본인의 해석이 갈리는 자리에서 어머니가 실제로 보이신 반응이 어디까지였는지 사실관계만으로 짚어 주십시오.","在弟弟的解释与您的解释发生分歧的位置，请只按事实关系指出母亲实际表现出的反应到哪里为止。","在您和弟弟解释不同的地方，请只根据事实说明，母亲实际表现出的反应到哪里为止。","发生分歧的位置/到哪里为止 mirrors KO structure too closely."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[127].variants[2].text","scriptedAngles","d-5|fact_pursuit|b|v2","P2","naturalness","형의 해석과 본인의 해석이 갈리는 자리에서, 본인이 직접 한 절차만 사실관계로 짚어 주십시오.","在哥哥的解释与您的解释发生分歧的位置，请只按事实关系指出您亲自进行的程序。","在您和哥哥解释不同的地方，请只根据事实说明，哪些程序是您亲自做的。","Same stacked location phrase recurs for the other party."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[132].variants[2].text","scriptedAngles","d-5|fact_pursuit|a|v2","P2","naturalness;archetype","동생의 진술 가운데 본인의 당연시가 결정에 영향을 주었다고 보는 부분이 있다면, 같은 자리에서 본인이 한 행동을 사실관계로 짚어 주십시오.","如果弟弟的陈述中有认为您的理所当然感影响了决定的部分，请按事实关系指出您在同一位置所做的行为。","如果弟弟的陈述指出您把长子身份视为理所当然影响了决定，请只按事实说明您当时做了什么。","理所当然感 is unnatural; the archetype issue is entitlement tied to eldest-son status."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[135].variants[3].text","scriptedAngles","d-5|motive_search|b|v3","P2","naturalness;archetype","형의 위치 인식이 본인의 결정을 더 쉽게 만들어 준 부분이 있었는지 본인이 알 수 있는 범위에서 답하십시오.","请在您能知道的范围内回答，哥哥的位置认知是否有让您的决定变得更容易的部分。","请在您知道的范围内回答，哥哥对长子身份的认知，是否让您的决定变得更容易。","位置认知 is opaque in zh-CN; make the eldest-son position explicit."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[137].variants[3].text","scriptedAngles","d-5|empathy_approach|b|v3","P2","naturalness","형의 기대가 본인의 결정에 어떤 무게로 작용했는지 말씀해 주십시오. 그것이 보호인지 거리 두기인지에 따라 본인이 한 일의 결이 달라집니다.","请说明哥哥的期待以怎样的重量作用于您的决定。那是保护还是保持距离，会改变您所做之事的性质。","请说明哥哥的期待对您的决定有多大影响。那到底是保护还是保持距离，会改变您所做之事的性质。","以怎样的重量作用于 is literal and reads like translated Korean."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[144].variants[3].text","scriptedAngles","d-5|fact_pursuit|a|v3","P2","naturalness","어머니께서 본인 앞에서 한 말과 동생 앞에서 한 말이 다르다고 본인이 알고 있는 부분이 있는지 정리해 주십시오.","请整理，您是否知道母亲在您面前说的话与在弟弟面前说的话存在不同的部分。","请整理一下，母亲在您面前说的话和在弟弟面前说的话，是否有您知道的不一致之处。","存在不同的部分 is a repeated translationese pattern."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[145].variants[3].text","scriptedAngles","d-5|fact_pursuit|b|v3","P2","naturalness","어머니께서 본인 앞에서 한 말과 형 앞에서 한 말이 다르다고 본인이 알고 있는 부분이 있다면, 그 차이를 정리해 주십시오.","如果您知道母亲在您面前说的话与在哥哥面前说的话存在不同的部分，请整理这种差异。","如果您知道母亲在您面前说的话和在哥哥面前说的话有不一致之处，请把差异整理出来。","Same phrase should be normalized for the B-side version."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[146].variants[4].text","scriptedAngles","d-5|motive_search|a|v4","P2","naturalness","윤태성 씨, 어머니의 침묵을 본인의 동의로 읽은 부분이 있다면, 그 읽음을 본인 선에서 인정해 주십시오.","尹泰成先生，如果曾有您把母亲的沉默解读为对自己的同意的部分，请在本人范围内承认这种解读。","尹泰成先生，如果您曾把母亲的沉默理解成同意您，请就您自己能承认的范围说明这一点。","在本人范围内 is unnatural and obscures the limited-admission tone."
"src/data/scriptedAngles/family-01_judge_questions.zh-CN.json#judgeQuestions[147].variants[2].text","scriptedAngles","d-5|motive_search|b|v2","P2","naturalness","어머니의 말이 본인의 결정과 어긋난 자리가 있었다면, 그 자리에서 본인이 어떻게 처리했는지 설명하십시오.","如果曾有母亲的话与您的决定相抵触的位置，请说明您在那个位置如何处理。","如果母亲的话曾与您的决定相冲突，请说明您当时是如何处理的。","相抵触的位置/那个位置 is an unnecessary literal carryover."
