path,key_or_id,original_ko,proposed_en,risk,recommendation
src/data/scriptedText/spouse-01.json,a-d-1-S0-fact-pursuit-v1,"블랙박스를 열어봤을 때, 저는 이미 답을 알고 있었습니다. 매일, 같은 시간, 같은 오피스텔.","When I opened the dashcam, I already knew the answer. Every day, same time, same studio apartment.","Low. EN keeps ""same studio apartment"" — surface vocab — and never names the resident. ""I already knew the answer"" mirrors KO ambiguity (A's S0 frame: ""it must be an affair"") without stating it as fact.",Acceptable. Confirm the EN reader receives the same ambiguity (still possible to be wrong about the cause).
src/data/scriptedText/spouse-01.json,b-e-1-early-self-v1,그건... 제가 산 겁니다.,That… I'm the one who bought them.,"None on this line in isolation. Risk emerges if a translator pads the sentence with context (""I bought them for someone else"") that hints at recipient.",Hold the EN line as terse as the KO line. Do not add ""for"" clauses at lieBand=early.
src/data/scriptedText/spouse-01.json,judgeq-d-1-fact_pursuit-b-general-v1,"이준호 씨, 퇴근 후 오피스텔 방문과 새벽 통화는 본인 행동입니다.","Mr. Lee, the after-work studio-apartment visits and the late-night calls are your own actions.","Low. The judge restricts to surface actions (visits, calls) and never names a recipient or claim of affair / claim of family. Same boundary as KO.",Acceptable. Verify EN reviewer that ""studio apartment"" reads neutral (not affair-coded).
src/data/scriptedText/spouse-01.json,judgeq-d-1-fact_pursuit-b-general-v3,"박지연 씨의 외도 주장과 이준호 씨 설명이 가장 크게 어긋나는 사실이 무엇입니까.","Where does Mrs. Park's claim of an affair diverge most sharply from your account?","Medium. Naming ""claim of an affair"" in the judge channel is allowed because A has already framed the case publicly — the judge is referring to A's claim, not asserting it. EN ""claim of an affair"" preserves this attribution.",Acceptable. Reviewer confirm that EN reads as ""A's framing"" not as the judge's assertion.
src/data/scriptedText/spouse-01.json,b-d-1-S0-fact_pursuit-general-v2,"제가 직접 한 행동은 오피스텔 방문, 새벽 통화, 영수증 물건 안에서 자료로 확인되는 부분부터 답하겠습니다.","As for what I did myself — the studio visits, the late-night calls, the receipted items — I'll start with the parts the records can confirm.","Low. B at S0 enumerates surface actions and refuses inference. EN matches.",Acceptable.
src/data/dialogues/phase1/spouse-01.json,system_opening,결혼 10년차 부부 박지연·이준호. 8개월째 각방을 쓰고 있다. 아내 박지연이 남편의 딴살림을 주장하며 재판을 신청했다.,"Park Ji-yeon and Lee Jun-ho, married ten years. They've been sleeping in separate rooms for eight months. The wife, Park Ji-yeon, filed for trial, claiming her husband is keeping a second household.","Low. ""Claiming her husband is keeping a second household"" preserves attribution (claim, not fact). KO 딴살림 = ""separate household"" with affair connotation; EN ""second household"" is the closest faithful match.",Acceptable. Reviewer confirm that ""second household"" does not over-read as affair (KO 딴살림 leans affair; EN ""second household"" is more neutral). Acceptable for opening because A's framing is meant to be loaded.
src/data/dialogues/phase1/spouse-01.json,a-line-2,"블랙박스를 확인해 보고, 매일 같은 오피스텔에 두세 시간씩 방문하는 것을 알게 되었습니다.","I checked the dashcam and learned he was visiting the same studio apartment every day for two or three hours at a time.","Low. Surface fact only. Names a place type (studio apartment) without naming any resident.",Acceptable.
src/data/dialogues/phase1/spouse-01.json,a-c1_press_b-reaction,자기야 뭐가 오해인데? 매일같이 거기를 다녀와놓고 그저 오해라고? 거기서 뭘 하는 건데?,"Honey, what is the misunderstanding? You go there every single day and call it just a misunderstanding? What are you doing there?","Low. A is pressing without naming anyone. EN preserves the question without forcing inference.",Acceptable.
src/data/scriptedText/spouse-01.json,b-e-1-early-self-v3,편의점이든 서점이든 제가 산 물건들입니다.,"Convenience store, bookshop — those are all things I bought.","Risk: ""bookshop"" specifies bookstore. KO 서점 = bookstore. Concern: bookstore implies study materials and could be read by a sharp EN player as ""this man is buying study supplies for a child"" earlier than the KO line allows.","Acceptable but watch. KO source already uses 서점 — EN translation is faithful. The leak risk is the SAME as KO. If the KO writer wanted to obscure further, they would have used 매장 / 가게. Translator must not obscure beyond KO."
src/data/scriptedAngles/spouse-01_judge_questions.json,judgeq-d-1-fact_pursuit-b-general-v3,"… 외도 해석과 분리해 시간순으로 답하게 한다. 친형·조카 정체는 S5 전 직접 언급 금지.",(behaviorHint kept KO),"behaviorHint contains the truth tokens 친형·조카. Risk: if behaviorHint is ever surfaced (debug overlay / future tooling) and translated, EN translator could leak ""older brother"" / ""nephew"" inadvertently.","Lock behaviorHint as Korean-only writer note. Do not translate. If the team later wants EN behaviorHints, the EN side should also encode the truth tokens behind the same disclosure boundary — they are NEVER user-visible regardless of locale."
src/data/cases/generated/spouse-01.json,evidence.e-4.name,형 문자 스레드,"(Truth label) brother's text thread — this is the truth field, not the surface label.","Critical. evidence.e-4.name is the ground-truth label and is read by the disclosure guard's surfaceMap to detect leaks. If EN localization mirrors this field as ""brother's text thread"" and a UI surface accidentally renders evidence.name (instead of evidence.surfaceName), the EN player sees the truth before S5.","DO NOT translate evidence.name in this pass. Translate only evidence.surfaceName (= ""text from an unknown sender""). Add a UI audit step that confirms no panel renders evidence.name directly. If EN must mirror evidence.name for disclosure-guard parity, add it to the EN forbidden-lexeme set."
