id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.eyebrow,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.eyebrow,개인정보 안내,Privacy Notice,プライバシーに関するお知らせ,隐私说明,메인 세션 1차 작성. 텔레메트리 동의 모달 eyebrow 라벨. UI 짧고 명확.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.title,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.title,익명 사용 데이터 수집 안내,About Anonymous Usage Data Collection,匿名利用データの収集について,匿名使用数据收集说明,메인 세션 1차 작성. 텔레메트리 동의 모달 제목.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.body1,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.body1,"게임 개선을 위해 사건 진행 단계, 선택한 행동 종류, 증거 ID, 쟁점 ID 같은 익명 통계만 수집합니다. 자유 질문 원문, 대화 내용, 개인정보성 텍스트, Steam ID는 수집하지 않습니다.","To improve the game, we collect only anonymous statistics, such as case progress stage, selected action type, evidence ID, and issue ID. We do not collect free-text questions, conversation content, personally identifying text, or Steam IDs.",ゲーム改善のため、事件の進行段階、選択した行動の種類、証拠ID、争点IDなどの匿名統計のみを収集します。自由質問の原文、会話内容、個人情報を含むテキスト、Steam IDは収集しません。,为改进游戏，我们仅收集案件推进阶段、所选行动类型、证据 ID、争议点 ID 等匿名统计。不会收集自由提问原文、对话内容、含个人信息的文本或 Steam ID。,메인 세션 1차 작성. 텔레메트리 동의 모달 본문 1단락. 약관 톤.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.body2,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.body2,수집 실패나 네트워크 오류는 게임 진행에 영향을 주지 않습니다. 이 설정은 언제든지 설정 화면에서 끌 수 있습니다.,Collection failures or network errors will not affect gameplay. You can turn this setting off at any time in Settings.,収集の失敗やネットワークエラーはゲーム進行に影響しません。この設定は、設定画面でいつでもオフにできます。,收集失败或网络错误不会影响游戏进程。可随时在设置界面关闭此项设置。,메인 세션 1차 작성. 텔레메트리 동의 모달 본문 2단락.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.toggle,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.toggle,사용 데이터 수집 허용,Allow usage data collection,利用データの収集を許可,允许收集使用数据,메인 세션 1차 작성. 모달 내 토글 라벨.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.toggleDesc,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.toggleDesc,익명 통계로 게임 개선에 사용됩니다.,Helps improve the game through anonymous statistics.,匿名統計としてゲーム改善に役立てられます。,将作为匿名统计用于改进游戏。,메인 세션 1차 작성. 모달 내 토글 부제.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.cta,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.cta,동의하고 시작,Agree and Start,同意して始める,同意并开始,메인 세션 1차 작성. 모달 CTA 버튼. 짧은 행동 유도.
ui_i18n_message_src_i18n_messages_settings.ts_settings.data.telemetry.group,ui_i18n_message,src/i18n/messages/settings.ts,,settings.data.telemetry.group,사용 데이터,Usage Data,利用データ,使用数据,메인 세션 1차 작성. 설정→데이터 카테고리 텔레메트리 그룹 제목.
ui_i18n_message_src_i18n_messages_settings.ts_settings.data.telemetry.toggle,ui_i18n_message,src/i18n/messages/settings.ts,,settings.data.telemetry.toggle,사용 데이터 수집 허용,Allow usage data collection,利用データの収集を許可,允许收集使用数据,메인 세션 1차 작성. 설정 화면 토글 라벨. 동의 모달 토글과 동일 의도.
ui_i18n_message_src_i18n_messages_settings.ts_settings.data.telemetry.toggleDesc,ui_i18n_message,src/i18n/messages/settings.ts,,settings.data.telemetry.toggleDesc,익명 통계로 게임 개선에 사용됩니다. 자유 질문이나 대화 내용은 절대 수집하지 않습니다.,Helps improve the game through anonymous statistics. Free-text questions and conversation content are never collected.,匿名統計としてゲーム改善に役立てられます。自由質問や会話内容は一切収集しません。,将作为匿名统计用于改进游戏。绝不会收集自由提问或对话内容。,메인 세션 1차 작성. 설정 화면 토글 부제 (모달 부제보다 길고 강조).
