row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,applied_text,applied_decision
ui-common.app.title,솔로몬의 딜레마: 진실의 무게,所罗门的困境：真相之重,ui_i18n_message,D6,P0,真相裁决：零点审判,,a,0.99,Locked public brand_full_title in docs/localization/glossary.csv is 真相裁决：零点审判; zh-CN guidance rejects Solomon-based public title.,真相裁决：零点审判,applied option_a per recommendation=a
ui-common.brand.title,솔로몬의 딜레마,所罗门的困境,ui_i18n_message,D6,P0,真相裁决,,a,0.99,Locked brand_title is 真相裁决; current zh-CN uses rejected Solomon-based naming.,真相裁决,applied option_a per recommendation=a
ui-common.brand.subtitle,진실의 무게,真相之重,ui_i18n_message,D6,P0,零点审判,,a,0.98,Locked brand_subtitle is 零点审判; current zh-CN preserves stale subtitle.,零点审判,applied option_a per recommendation=a
ui-common.brand.fullTitle,솔로몬의 딜레마: 진실의 무게,所罗门的困境：真相之重,ui_i18n_message,D6,P0,真相裁决：零点审判,,a,0.99,Locked brand_full_title mismatch and forbidden Solomon-based public wording.,真相裁决：零点审判,applied option_a per recommendation=a
ui-home.home.gameTitle,솔로몬의 딜레마: 진실의 무게,所罗门的困境：真相之重,ui_i18n_message,D6,P0,真相裁决：零点审判,,a,0.99,Main home title must match locked brand_full_title.,真相裁决：零点审判,applied option_a per recommendation=a
ui-settings.settings.about.credits.title,솔로몬의 딜레마: 진실의 무게,真相裁决：真相之重,ui_i18n_message,D6,P0,真相裁决：零点审判,,a,0.98,"Title half is correct, but subtitle still mismatches locked brand_subtitle.",真相裁决：零点审判,applied option_a per recommendation=a
ui-home.pc.home.intro.slide.digitalCourt.title,현대판 솔로몬이 되어 갈등을 해결해주세요.,成为现代所罗门，解决每一场冲突。,ui_i18n_message,D6,P1,站上裁判席，解决每一场冲突。,以裁判者身份，解决每一场冲突。,a,0.92,zh-CN brand guidance avoids 所罗门 in public-facing UI copy.,站上裁判席，解决每一场冲突。,applied option_a per recommendation=a
ui-court.pc.verdictAdvance.hidden.keepInvestigating,추가 심문,继续审讯,ui_i18n_message,D3,P1,继续询问,继续讯问,a,0.90,审讯 is too criminal/coercive and conflicts with the dominant UI term 询问.,继续询问,applied option_a per recommendation=a
ui-court.pc.mediation.entry.title,심문을 마치고 판결에 들어가시겠습니까?,结束审讯并进入裁决吗？,ui_i18n_message,D3,P1,结束询问并进入裁决吗？,结束讯问并进入裁决吗？,a,0.90,Tone should match civil/mock-court UI wording.,结束询问并进入裁决吗？,applied option_a per recommendation=a
ui-court.pc.mediation.entry.body,"심문을 더 이어갈지, 바로 판결로 들어갈지 결정합니다.",决定是继续审讯，还是直接进入裁决。,ui_i18n_message,D3,P1,决定是继续询问，还是直接进入裁决。,决定是继续讯问，还是直接进入裁决。,a,0.90,Tone should match civil/mock-court UI wording.,决定是继续询问，还是直接进入裁决。,applied option_a per recommendation=a
ui-court.pc.mediation.entry.secondary,추가 심문,继续审讯,ui_i18n_message,D3,P1,继续询问,继续讯问,a,0.90,Visible button uses harsh/inconsistent term.,继续询问,applied option_a per recommendation=a
ui-court.pc.mediation.entry.dialogue,심문을 마치고 판결에 들어가겠습니다.,审讯到此结束，进入裁决。,ui_i18n_message,D3,P1,询问到此结束，进入裁决。,讯问到此结束，进入裁决。,a,0.90,Judge dialogue should keep neutral procedural tone.,询问到此结束，进入裁决。,applied option_a per recommendation=a
ui-tutorial.pc.tutorial.spouse01.question-method-select.title,심문 방식 선택,选择审讯方式,ui_i18n_message,D3,P1,选择询问方式,选择讯问方式,a,0.90,Tutorial should match the UI term 询问.,选择询问方式,applied option_a per recommendation=a
ui-tutorial.pc.tutorial.spouse01.question-method-select.body,"심문 방식을 골라주세요. [사실 추궁], [동기 탐색], [공감 접근] 중 하나면 돼요.",请选择想要的审讯方式。在[事实追问]、[动机探索]、[共情接近]中选一个吧。,ui_i18n_message,D6,P1,请选择想要的询问方式。在[事实追问]、[动机探查]、[共情接近]中选一个吧。,,a,0.92,"Fix both harsh 审讯 and action-name mismatch: UI label is 动机探查, not 动机探索.",请选择想要的询问方式。在[事实追问]、[动机探查]、[共情接近]中选一个吧。,applied option_a per recommendation=a
ui-tutorial.pc.tutorial.spouse01.question-dispute-select.body,심문할 쟁점을 선택해주세요.,请选择要审讯的争议点。,ui_i18n_message,D3,P1,请选择要询问的争议点。,请选择要讯问的争议点。,a,0.90,Tutorial should match neutral UI term.,请选择要询问的争议点。,applied option_a per recommendation=a
ui-tutorial.pc.tutorial.spouse01.evidence-select.body,심문에 사용할 증거를 선택해주세요.,请选择要用于审讯的证据。,ui_i18n_message,D3,P1,请选择要用于询问的证据。,请选择要用于讯问的证据。,a,0.90,Tutorial should match neutral UI term.,请选择要用于询问的证据。,applied option_a per recommendation=a
ui-tutorial.pc.tutorial.spouse01.evidence-present-e2-to-b.body,조사한 증거를 상대에게 제시하면 심문을 더 효과적으로 이어갈 수 있어요.,把调查过的证据出示给对方，能更有效地继续审讯。,ui_i18n_message,D3,P1,把调查过的证据出示给对方，能更有效地继续询问。,把调查过的证据出示给对方，能更有效地继续讯问。,a,0.90,Tutorial should match neutral UI term.,把调查过的证据出示给对方，能更有效地继续询问。,applied option_a per recommendation=a
ui-tutorial.pc.tutorial.spouse01.tutorial-complete.body,"자, 이제 직접 심문을 진행하며 진실을 찾고 합당한 판결을 내려주세요.",现在请亲自审讯、揭开真相，并作出公正的判决。,ui_i18n_message,D3,P1,现在请亲自询问、揭开真相，并作出公正的裁决。,现在请亲自讯问、揭开真相，并作出公正的裁决。,a,0.90,Fix harsh 审讯 and keep verdict term aligned with 裁决 in process/action contexts.,现在请亲自询问、揭开真相，并作出公正的裁决。,applied option_a per recommendation=a
ui-layout.pc.actions.dialogue.objection,이의 있습니다.,我提出异议。,ui_i18n_message,D3,P1,反对！,提出异议！,a,0.93,In-character objection bark should be short and natural; glossary separates noun 异议 from spoken bark 反对！.,反对！,applied option_a per recommendation=a
