priority,file_or_component,risk,affected_locales,recommendation
P0,src/components/pc/settings/PCSettingsPanel.tsx :: CATEGORIES sidebar (화면/오디오/게임플레이/데이터/언어/접근성/키보드/계정/정보) and __badge '준비 중' — all hardcoded Korean,"Sidebar is rendered even when locale=en/ja/zh-CN; user who switched language sees Korean labels everywhere except language section. Most visible bug after language switch.",en|ja|zh-CN,"Move CATEGORIES labels to settings.* namespace (settings.category.display / .audio / .gameplay / .data / .language / .accessibility / .controls / .account / .about) and the badge to settings.category.preview; render via t(). Keep .pc-settings-sidebar__label and force min-width:0 + overflow:hidden + text-overflow:ellipsis."
P0,src/components/pc/settings/PCSettingsPanel.tsx :: AboutSection — '정보' / '버전' / '빌드' / '엔진' / '크레딧' / '라이선스' inline literals,"Settings → About card shows Korean even after switching to en/ja/zh-CN; the only translatable lines today are credits.title and credits.description.",en|ja|zh-CN,"Add settings.about.* keys (title / description / version / build / engine / credits / license) and switch the literals to t(). No layout change needed once strings are translatable."
P0,src/components/pc/verdict/PCVerdictScreen.tsx :: STEPS '01 쟁점 판단 / 02 안건 책임 / 03 해결안 / 04 판결문' + footer literals '이전 단계' / '다음 단계' / '판결 확정' / '판결 기록 중...' / '모든 쟁점을 먼저 판단하세요',"Zero t() calls in this file; the entire verdict flow is Korean. EN/JA/zh-CN players land on a Korean wall.",en|ja|zh-CN,"Add verdict.step.fact / .responsibility / .solution / .confirm and verdict.footer.* keys; drop the numeric prefix on non-KO via the t() value. Add min-width:0 + overflow-wrap:break-word on .pc-verdict-rail__chip and .pc-verdict-step-link so localized labels do not clip."
P0,src/components/pc/hotbar/PCBottomDock.tsx :: ZERO t() calls — all hotbar slots / special actions / question-choice overlay / advance banner are inline Korean,"Most-used in-play surface is unlocalized. Slots are also fixed-width and cannot accommodate longer EN labels even after translation.",en|ja|zh-CN,"Add hotbar.* keys (slot.factPursuit / .motiveSearch / .empathyApproach / .freeQuestion / .evidencePresent / .witnessSummon plus 3 special actions); translate the question-choice overlay header and dispute hint. Combine with the .slot-nm 2-line clamp from PATCH_SUGGESTIONS."
P0,src/app/pc.css :4565-4574 :: .pc-intro__brand-copy / .pc-home-v2__eyebrow / .pc-mode-card__badge / .pc-panel-card-v2__eyebrow / .pc-stage-preview-v2__eyebrow apply 'text-transform:uppercase; letter-spacing:0.2em',"These rules now wrap localized strings (t('splash.subtitle') / season.name) — uppercase is a no-op for KO/JA/zh-CN but the 0.2em tracking widens hangul/kana/hanzi visibly and looks broken on zh-CN. Violates the locked rule 'Only English may keep uppercase eyebrow/label styling'.",ko|ja|zh-CN,"Scope the existing uppercase + 0.2em rule to html[lang^='en'] only. For non-EN, keep font-size/weight/color but set text-transform:none and letter-spacing:0.04em-0.06em. Eyebrow strings that are intentionally English brand constants (RESULT DOSSIER / VERDICT STUDIO / GENERAL MODE / JUDGE PROFILE / JUDGE AXES / PLAY HISTORY / DISPLAY / AUDIO / GAMEPLAY / LIVE / SETTINGS / JUDGE DESK) stay as inline literals — fine."
P0,src/app/pc.css :4719-4728 :: .pc-home-v2__hero h1 has 'white-space: nowrap' with font-size clamp(44px,4.6vw,64px),"Renders t('home.gameTitle'). EN 'Verdict Zero: Trial of Truth' (28 chars) at 64px ≈ 980-1100px plus two 48px scale ornaments + 28px gaps. Tight at 1280×800 (Steam Deck) and clips below.",en,"Replace nowrap with controlled wrap: white-space:normal; word-break:keep-all (default) / overflow-wrap:break-word; line-height:1.05; allow 2 lines via max-width:min(1100px, 100% - 200px). On EN add letter-spacing:-0.02em to keep weight."
P0,src/app/PCApp.tsx :120-130 :: pc-splash and pc-loading-screen show only after browser-locale auto-detect,"Splash/SteamAuth/Preparing screens render before user can open Settings. PCLanguageSelector was removed; user with mismatched browser locale sees text in detected language with no in-screen way to switch. Not a layout clip but a discoverability blocker for ko/ja/zh-CN players whose browser reports en.",en|ja|zh-CN,"Either re-introduce a small selector inside .pc-splash__content (icon-only menu, fixed top-right) or persist the chosen locale earlier (e.g. via the launcher / Steam locale handoff). Defer to PROJECT_CONTROL_TOWER."
P1,src/components/pc/home/PCIntroSlides.tsx :44-91 :: hardcoded '건너뛰기' / '이전' / '로비 입장' / '다음' + slide.kicker/title/body strings,"Slide content is Korean and the brand band tries to fit brand.fullTitle + splash.subtitle + kicker + 2 separators in a single inline-flex row. EN form ('Verdict Zero: Trial of Truth | COURT SIMULATION GAME | <kicker>') overflows at 1280×800.",en|ja|zh-CN,"Translate the buttons via intro.* keys; allow the brand band to flex-wrap and clamp .pc-intro__brand-copy with overflow:hidden + text-overflow:ellipsis + min-width:0. Make .pc-intro__brand-name and .pc-intro__brand-copy share a min-width:0 group."
P1,src/components/pc/home/PCHomeScreen.tsx :: ModeCard badge='NORMAL MODE' + DepthHeader eyebrow='GENERAL MODE / JUDGE DESK / SETTINGS' inline + 'NORMAL MODE' / season.name (KO) flowing into .pc-mode-card__badge,"badge='NORMAL MODE' + season.name='시즌 7' both feed the same .pc-mode-card__badge styling that uppercases + tracks 0.2em. Mixed render: EN brand string OK, KO season name distorted.",ko|ja|zh-CN,"Either: (a) keep .pc-mode-card__badge uppercase only when content is detected as Latin via :lang() / lang attr; or (b) split badge into two classes — one for English brand constants (--brand) and one for localized season names. Recommend (b) and apply the locale rule from P0 row 5."
P1,src/components/pc/home/PCHomeScreen.tsx :387-541 :: '일반 모드' / '시즌 모드' / '재판관 정보' / '판결 기록' / '재판관 관리' / '리더보드' / '시즌 랭킹' / '명예의 전당' / '설정' / '화면' / '오디오' / '게임플레이' / '라이브 상태' inline literals,"All home-tab and judge-desk titles still Korean. Result tabs, mode-card titles, modal copy hardcoded.",en|ja|zh-CN,"Migrate home titles into home.* namespace (home.mode.general / .season / .judgeDesk / .leaderboard etc.). Add CSS guard: .pc-mode-card__title { word-break:keep-all; overflow-wrap:break-word; max-width:100% }."
P1,src/components/pc/result/PCResultScreen.tsx :: TABS '01 결과 확인 / 02 판결 선고 / 03 후일담 / 04 보너스' + getRating ('전설적인 재판관' etc.) inline + RESULT DOSSIER eyebrow literal,"Result frame has 6 t() calls but core tab labels and rating are still Korean. EN translations will increase length and need ellipsis or numeric-prefix removal.",en|ja|zh-CN,"Add result.tab.* and result.rating.* keys; render via t(). Keep RESULT DOSSIER eyebrow as English brand constant per P0 row 5. Add min-width:0 + overflow-wrap:break-word on .pc-result-tab and .pc-result-step-link."
P1,src/app/pc.css :4389-4392 :: .pc-splash__sub has letter-spacing:0.16em (no uppercase),"Renders t('splash.subtitle'). KO '법정 시뮬레이션 게임' / JA '法廷シミュレーションゲーム' / zh-CN '法庭模拟游戏' with 0.16em tracking visibly distorts CJK characters; EN 'COURT SIMULATION GAME' is the only locale where 0.16em looks intentional.",ko|ja|zh-CN,"Scope letter-spacing:0.16em to html[lang^='en'] only; for non-EN reduce to 0.04em or 0."
P1,src/components/pc/hotbar/PCBottomDock.tsx :478-486 + pc.css :24180-24277 :: .hotbar-special-btn (분리 심문 / 비공개 보호 / 즉답 요구) max-width 92→58px with white-space:nowrap + ellipsis at narrow breakpoints,"After translation EN 'Confidential Protection' / 'Separate Interrogation' / 'Demand Immediate Answer' will clip to 1-2 chars; JA/zh-CN borderline at 58px.",en|ja|zh-CN,"Raise max-width to 120px ≥1320px; below 1320px hide inner span and rely on icon + kbd + title=. Localize the 3 labels and the title= attribute first."
