row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/scriptedText/friend-01.json:channels.evidence_discovery.entries[4].variants[0].text","evidence_discovery","discover-b-e-4-probe-v1","P0","D2+truth_leak","이 메시지 묶음에는 예비신랑에게서 먼저 선을 넘는 표현이 보입니다. 최수민 씨는 그 뒤 왜 다은이가 아니라 예비신랑에게 다시 연락을 이어가셨습니까.","이 메시지 묶음에는 예비신랑에게서 먼저 선을 넘는 표현이 보입니다. 최수민 씨는 그 뒤 왜 다은이가 아니라 예비신랑에게 다시 연락을 이어가셨습니까.","이 메시지 묶음에는 선후를 다시 확인해야 할 표현이 보입니다. 최수민 씨는 그 뒤 왜 다은이가 아니라 예비신랑에게 다시 연락을 이어가셨습니까.","reveal:none 증거 발견 채널에서 d-2 행위/사실을 재판관이 먼저 확정함. exact matrix keyword는 아니지만 beforeS5MustNotSay의 '예비신랑이 먼저 선을 넘었다는 확정' 영역."
"src/data/scriptedText/friend-01.json:channels.evidence_discovery.entries[6].variants[0].text","evidence_discovery","discover-b-e-4-capture-v1","P0","D2+truth_leak","지금 결혼이 깨질까 봐라고 하셨습니다. 먼저 선을 넘는 메시지를 봤다고 하셨는데, 그 시점에 다은이에게 곧바로 알리지 않은 이유가 그것이었습니까.","지금 결혼이 깨질까 봐라고 하셨습니다. 먼저 선을 넘는 메시지를 봤다고 하셨는데, 그 시점에 다은이에게 곧바로 알리지 않은 이유가 그것이었습니까.","지금 결혼이 깨질까 봐라고 하셨습니다. 문제가 되는 메시지를 봤다고 하셨는데, 그 시점에 다은이에게 곧바로 알리지 않은 이유가 그것이었습니까.","reveal:none 상태에서 '먼저 선을 넘는 메시지'를 직접 명명. evidence_discovery도 Phase 1 P0 사례처럼 player-facing leak 표면."
"src/data/scriptedText/friend-01.json:channels.judge_question.entries[13].variants[2].text","judge_question","judgeq-d-2-fact_pursuit-2-v3","P0","D2+truth_leak","두 분, 접근한 사람과 거절한 사람을 기록에 맞춰 나누십시오.","두 분, 접근한 사람과 거절한 사람을 기록에 맞춰 나누십시오.","두 분, 메시지가 시작된 쪽과 답장이 이어진 쪽을 기록에 맞춰 나누십시오.","judge_question reveal:none에서 '거절한 사람'으로 d-2 직접 진실을 선공개. hidden keyword 본성상 '거절했다'는 행위/사실."
"src/data/scriptedText/friend-01.json:channels.judge_question.entries[14].variants[2].text","judge_question","judgeq-d-2-fact_pursuit-3-v3","P0","D2+truth_leak","두 분, 유혹한 사람과 거절한 사람의 자리를 다시 정리하십시오.","두 분, 유혹한 사람과 거절한 사람의 자리를 다시 정리하십시오.","두 분, 사적으로 접근한 쪽과 답장의 성격을 기록 기준으로 다시 정리하십시오.","beforeS5MustNotSay의 '최수민이 거절했다는 직접 진실' 노출. 재판관 질문은 surface-only 추궁이어야 함."
"src/data/scriptedText/friend-01.json:channels.judge_question.entries[17].variants[0].text","judge_question","judgeq-d-2-motive_search-2-v1","P0","D2+truth_leak","최수민 씨, 거절한 사람인데도 왜 먼저 밝히지 못했습니까.","최수민 씨, 거절한 사람인데도 왜 먼저 밝히지 못했습니까.","최수민 씨, 답장의 성격을 설명할 자료가 있었는데도 왜 먼저 밝히지 못했습니까.","'거절한 사람'은 d-2 S5CanSay 영역을 judge_question에서 먼저 확정하는 표현."
"src/data/scriptedText/friend-01.json:channels.judge_question.entries[22].variants[0].text","judge_question","judgeq-d-2-empathy_approach-3-v1","P0","D2+truth_leak","최수민 씨, 거절한 사람이 오히려 의심받는 상황을 어떻게 견뎠습니까.","최수민 씨, 거절한 사람이 오히려 의심받는 상황을 어떻게 견뎠습니까.","최수민 씨, 답장의 의미가 다르게 읽히는 상황을 어떻게 견뎠습니까.","empathy 질문이라도 행위 시인성 truth를 judge가 대신 말하면 안 됨."
"src/data/scriptedText/friend-01.json:channels.judge_contradiction.entries[4].variants[0].text","judge_contradiction","judgec-d-2-mid-v1","P0","D2+truth_leak","최수민 씨, 거절한 사람이라면 왜 바로 보이지 않았습니까. 그 판단을 설명하십시오.","최수민 씨, 거절한 사람이라면 왜 바로 보이지 않았습니까. 그 판단을 설명하십시오.","최수민 씨, 답장의 성격이 다르다면 왜 바로 보이지 않았습니까. 그 판단을 설명하십시오.","judge_contradiction mid에서 d-2 직접 진실을 조건문 형태로 노출. surface paraphrase로 낮춰야 함."
"src/data/scriptedText/friend-01.json:channels.judge_evidence_combo.entries[6].variants[0,1,4].text","judge_evidence_combo","judgecombo-dc-2.b.q1-soft-v1/v2/v5","P0","D2+truth_leak","연락 기록과 예비신랑 메시지를 함께 보면, 먼저 사적인 선을 넘은 사람과 이후 연락한 사람이 분리됩니다. / 그 전에 있었던 접근을 보여줍니다. / 최수민 씨가 먼저 유혹한 그림은 흔들립니다.","연락 기록과 예비신랑 메시지를 함께 보면, 먼저 사적인 선을 넘은 사람과 이후 연락한 사람이 분리됩니다. / 그 전에 있었던 접근을 보여줍니다. / 최수민 씨가 먼저 유혹한 그림은 흔들립니다.","연락 기록과 예비신랑 메시지를 함께 보면, 선후를 다시 확인해야 합니다. 최수민 씨, 왜 바로 말하지 못했습니까.","soft evidence combo인데 judge가 dossier 결론을 말함. dossier 의미는 추궁 단서로 추상화해야 하며 답은 NPC가 말해야 함."
"src/data/scriptedText/friend-01.json:channels.judge_evidence_combo.entries[7].variants[1,2,4].text","judge_evidence_combo","judgecombo-dc-2.b.q1-mid-v2/v3/v5","P0","D2+truth_leak","대화의 선후가 먼저 사적인 말을 보낸 기록이 있습니다. / 출발점은 예비신랑 메시지였습니다. / 예비신랑의 접근과 최수민 씨의 연락은 한 흐름 안에 있습니다.","대화의 선후가 먼저 사적인 말을 보낸 기록이 있습니다. / 출발점은 예비신랑 메시지였습니다. / 예비신랑의 접근과 최수민 씨의 연락은 한 흐름 안에 있습니다.","연락 기록과 예비신랑 메시지를 함께 보면, 연락의 시작점과 이후 대응을 나눠 봐야 합니다. 최수민 씨, 왜 혼자 정리하려 했습니까.","mid/partial이라도 '예비신랑이 먼저' paraphrase가 사실 확정으로 작동함."
"src/data/scriptedText/friend-01.json:channels.judge_evidence_combo.entries[8].variants[0,1,2,3].text","judge_evidence_combo","judgecombo-dc-2.b.q1-hard-v1/v2/v3/v4","P0","D2+truth_leak","예비신랑 메시지가 먼저 넘은 선을 보여줍니다. / 거절 기록을 감춘 선택이 오해를 만들었습니다. / 최수민 씨는 유혹한 사람이 아니라 거절한 사람입니다. / 예비신랑의 메시지가 출발점이라면","예비신랑 메시지가 먼저 넘은 선을 보여줍니다. / 거절 기록을 감춘 선택이 오해를 만들었습니다. / 최수민 씨는 유혹한 사람이 아니라 거절한 사람입니다. / 예비신랑의 메시지가 출발점이라면","연락 기록과 예비신랑 메시지를 함께 보면, 선후와 답장의 의미가 핵심입니다. 최수민 씨, 바로 공개하지 못한 이유를 답하십시오.","hard라 해도 judge_evidence_combo는 결론 선언보다 단서 제시가 안전함. '거절한 사람'은 S5CanSay 직접 진실."
