case,surface,bucket_key,total_variants,filled_variants,unique_opener30,unique_closer30,top_prefix30_ratio,opener_pass,closer_pass,prefix_pass,overall_pass
family-01,scriptedText.interrogation,"a|d-1|S0|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S0|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S0|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S1|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S1|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S1|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S2|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S2|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S2|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S3|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S3|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S3|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S4|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S4|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S4|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S5|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S5|motive_search",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-1|S5|empathy_approach",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S0|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S0|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S0|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S1|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S1|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S1|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S2|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S2|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S2|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S3|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S3|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S3|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S4|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S4|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S4|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S5|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S5|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-1|S5|empathy_approach",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S0|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S0|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S0|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S1|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S1|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S1|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S2|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S2|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S2|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S3|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S3|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S3|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S4|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S4|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S4|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S5|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S5|motive_search",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-2|S5|empathy_approach",10,10,4,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S0|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S0|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S0|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S1|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S1|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S1|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S2|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S2|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S2|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S3|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S3|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S3|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S4|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S4|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S4|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S5|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S5|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-2|S5|empathy_approach",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S0|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S0|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S0|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S1|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S1|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S1|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S2|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S2|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S2|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S3|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S3|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S3|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S4|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S4|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S4|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S5|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S5|motive_search",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-3|S5|empathy_approach",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S0|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S0|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S0|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S1|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S1|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S1|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S2|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S2|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S2|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S3|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S3|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S3|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S4|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S4|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S4|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S5|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S5|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"b|d-3|S5|empathy_approach",10,10,5,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S0|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S0|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S0|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S1|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S1|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S1|empathy_approach",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S2|fact_pursuit",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S2|motive_search",10,10,3,10,0.400,true,true,true,true
family-01,scriptedText.interrogation,"a|d-4|S2|empathy_approach",10,10,3,10,0.400,true,true,true,true
