source_file,source_text,proposed_key,japanese_text,notes
src/components/pc/layout/PCInteractionPanel.tsx:685,법정 장악이 부족합니다.,pc.toast.insufficientControl,法廷掌握が不足しています。,P1 — showToast literal; same string at line 697; new key needed (court_control concept also missing from glossary)
src/components/pc/layout/PCInteractionPanel.tsx:697,법정 장악이 부족합니다.,pc.toast.insufficientControl,法廷掌握が不足しています。,duplicate of line 685
src/components/pc/panels/PCRightPanel.tsx:251,스킬 포인트가 부족합니다.,pc.toast.insufficientSkill,スキルポイントが不足しています。,P1 — showToast literal; matches existing COPY.insufficientSkill in same file (used 3x). Wire all four call sites to one key.
src/components/pc/panels/PCRightPanel.tsx:323,이미 같은 카드가 슬롯에 있습니다.,pc.toast.duplicateCard,同じカードがすでにスロットにあります。,P1 — showToast literal in combination drawer
src/components/pc/panels/PCRightPanel.tsx:403,하이라이트된 핵심 발언만 조합할 수 있습니다.,pc.toast.combineKeyOnly,組み合わせはハイライト中の核心発言のみ可能です。,P1 — showToast literal in combination drawer
src/components/pc/panels/PCRightPanel.tsx:1256,스킬 포인트가 부족합니다.,pc.toast.insufficientSkill,スキルポイントが不足しています。,P1 — duplicate of insufficientSkill rendered as <p> in combination drawer warn block
src/hooks/useActionDispatch.ts:3192,법정 장악이 부족합니다.,pc.dialogue.system.insufficientControl,法廷掌握が不足しています。,P1 — system dialogue line via addDialogue (speaker=system); routes through dialogue channel — verify via npm run check:policy after wiring
src/hooks/useActionDispatch.ts:3207,법정 장악이 부족합니다.,pc.dialogue.system.insufficientControl,法廷掌握が不足しています。,duplicate of line 3192
src/hooks/useActionDispatch.ts:1372,증인 증언 생성에 실패했습니다. 토큰이 반환되었습니다.,pc.toast.witnessTestimonyFailed,証人の証言生成に失敗しました。トークンを返却しました。,P1 — showToast literal for LLM testimony failure with token refund
src/store/slices/resourceSlice.ts:32,법정 장악이 부족해 기록 재정리를 진행할 수 없습니다.,pc.resource.recovery.records.failure,法廷掌握が不足しているため、記録の整理を実行できません。,P2 — resource recovery failure message; surfaces via setStatusMessage / toast on token-recovery action
src/store/slices/resourceSlice.ts:46,스킬 포인트가 부족해 정숙 선언을 진행할 수 없습니다.,pc.resource.recovery.silence.failure,スキルポイントが不足しているため、静粛宣言を実行できません。,P2 — resource recovery failure message
src/components/layout/CourtHeader.tsx:271,스킬 포인트가 부족합니다 ({globalSkill}/3),pc.toast.insufficientSkillCount,スキルポイントが不足しています（{count}/3）,P2 — legacy mobile CourtHeader — out of PC scope but shares string. Confirm whether layout/* mobile files are in scope.
src/components/pc/home/PCHomeScreen.tsx,~470 hardcoded KO UI strings,(see prior thread output),(see prior thread output),"COMPREHENSIVE LIST: see docs/localization/threads/outputs/02-ja-ui-translation/SOURCE_STRING_MAP.csv (~791 rows). Bulk PC UI strings remain hardcoded in PCHomeScreen / PCSettingsPanel / PCBottomDock / PCActionsPanel / PCInteractionPanel / PCJudgeProgressionPanel / PCDialogueLog / observation+notebook drawers / etc. The 55 currently-wired keys cover only ~12% of the user-facing surface."
src/components/pc/settings/PCSettingsPanel.tsx,KO UI strings (categories / display / audio / gameplay / data / about),(see prior thread output pc.settings.*),(see prior thread output),Settings panel still emits hardcoded KO. Reuse pc.settings.* proposals from prior thread output.
src/components/pc/verdict/PCVerdictScreen.tsx,KO UI strings (steps / fact options / responsibility / button labels),(see prior thread output pc.verdict.*),(see prior thread output),"Verdict screen partly wired (5 keys). Step labels (01 쟁점 판단 etc.), button labels (이전 단계, 판결 확정, etc.), lieState labels (방어/동요/.../고백) all still hardcoded."
src/components/pc/profile/PCJudgeProgressionPanel.tsx,KO UI strings (tabs / equip / enhance / fragments),(see prior thread output pc.profile.* / pc.perk.* / pc.trait.* / pc.fragment.*),(see prior thread output),Profile panel only has 2 keys wired. Heavy unwired surface.
src/components/pc/hotbar/PCBottomDock.tsx,KO UI strings (emotion / evidence type / dock CTAs / shortcuts),(see prior thread output pc.dock.* / pc.emotion.* / pc.evidenceType.*),(see prior thread output),Dock entirely unwired.
src/components/pc/observation/JudgeObservationSection.tsx,KO UI strings,(see prior thread output pc.observation.*),(see prior thread output),Observation/notebook entirely unwired.
src/components/pc/observation/JudgeNotebookSection.tsx,KO UI strings,(see prior thread output pc.notebook.*),(see prior thread output),
src/components/pc/observation/JudgeObservationHistoryDrawer.tsx,KO UI strings,(see prior thread output pc.observation.* / pc.notebook.*),(see prior thread output),
