id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v1_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v1].text,"최수민 씨, 그 연락을 보내는 동안 가장 두려웠던 점이 무엇입니까.","Ms. Choi, this is a setting in which it is hard to speak. Regarding the nine days of contact and what was said and unsaid across them, please share, at your own pace, what you found most difficult to say.",ソン・ダウンさん、連絡の頻度と意図を前にして揺れていた時間も含めて、率直なところをお答えください。,宋多恩女士，您看到那串通讯记录的第一反应是什么，请讲。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v2_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v2].text,"송다은 씨, 기록을 본 순간 무엇이 가장 먼저 무너졌습니까.","Ms. Song, if there were circumstances that made it hard to raise the nine days of contact and what was said and unsaid across them, please explain them in your own words first.",ソン・ダウンさん、連絡の頻度と意図を見て胸の中で結論に向かっていった経緯を、お話しください。,换一个角度。宋多恩女士，您看到那串通讯记录的第一反应是什么，请讲。请按时间顺序回答。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v3].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v3_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v3].text,"두 분, 연락 하나가 왜 이렇게 크게 번졌는지 감정부터 말해 보십시오.","Both parties, you do not need to lay everything out at once. Please each begin with the part of the nine days of contact and what was said and unsaid across them you feel ready to say today.",ソン・ダウンさん、連絡の頻度と意図について、いま胸の中にある事情を整えてお答えください。,让我们再确认一次。宋多恩女士，您看到那串通讯记录的第一反应是什么，请讲。请把这一点定准。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v4].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v4_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v4].text,"최수민 씨, 오해받을 걸 알면서도 보낸 마음을 설명하십시오.","Ms. Choi, if part of the nine days of contact and what was said and unsaid across them is something you can speak about and part is not yet, please separate them and answer on the part you can.",ソン・ダウンさん、不安と確信の境目で何が決め手になったのか、お話しいただけますか。,宋多恩女士，您看到那串通讯记录的第一反应是什么，请讲。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v5].behaviorHint,재판관이 감정의 압력을 인정하되 책임의 지점을 놓치지 않는다. depth 1 기준으로 질문 강도를 조절한다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_friend-01_channels_judge_question_.entries_d-1_empathy_approach_1_.variants_judgeq-d-1-empathy_approach-1-v5_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[judge_question].entries[d-1|empathy_approach|1].variants[judgeq-d-1-empathy_approach-1-v5].text,"송다은 씨, 결혼 앞에서 그 일이 왜 그렇게 크게 다가왔습니까.","Ms. Song, if there is something about the nine days of contact and what was said and unsaid across them you have been carrying alone, please put it down here, in the form you are able to.",ソン・ダウンさん、連絡の頻度と意図を伏せていた間の心情を、率直に整えてください。,换一个角度。宋多恩女士，您看到那串通讯记录的第一反应是什么，请讲。请按时间顺序回答。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
