check_category,locale,surface,result,evidence,notes
brand_guard,en,scriptedText/spouse-01.en.json,PASS,"Solomon=0 / Project_Solomon=0 / 所罗门=0",Independent regex sweep of full sidecar string dump.
brand_guard,en,scriptedAngles/spouse-01_judge_questions.en.json,PASS,Solomon=0 / Project_Solomon=0,
brand_guard,en,scriptedAngles/spouse-01_interrogation_answers.en.json,PASS,Solomon=0 / Project_Solomon=0,
brand_guard,en,scriptedAngles/spouse-01_angle_catalog.en.json,PASS,Solomon=0 / Project_Solomon=0,
brand_guard,en,dialogues/phase1/spouse-01.en.json,PASS,Solomon=0 / Project_Solomon=0,
brand_guard,en,dialogues/mediation/spouse-v3-01.en.json,PASS,Solomon=0 / Project_Solomon=0,
brand_guard,en,cases/generated/spouse-01.en.json,PASS,Solomon=0 / Project_Solomon=0,
brand_guard,ja,scriptedText/spouse-01.ja.json,PASS,ソロモン法廷=0 / プロジェクト・ソロモン=0,Independent sweep. Brand-locked `ソロモンのジレンマ` not present in script overlay (only in i18n message map).
brand_guard,ja,all 7 spouse-01 ja sidecars,PASS,0 occurrences of forbidden public brand literals,
brand_guard,zh-CN,scriptedText/spouse-01.zh-CN.json,PASS,所罗门=0 / 所羅門=0,
brand_guard,zh-CN,all 7 spouse-01 zh-CN sidecars,PASS,0 occurrences of forbidden public brand literals,
truth_boundary_pre_S5,en,scriptedText/spouse-01.en.json,PASS,non-S5 leaks=0 / S5 hits=320,"Audit walked entry.lieState; checked English truth lexemes (nephew/niece/older brother/my brother/sister-in-law/power of attorney forgery/investment fraud/school supplies/school notice/brother-in-law). Zero pre-S5 leaks across 18 channels."
truth_boundary_pre_S5,en,scriptedAngles/spouse-01_interrogation_answers.en.json,PASS,non-S5 leaks=0 / S5 hits=1670,"Largest surface. Zero leaks across 6 lieStates × 132 entries × 10 variants."
truth_boundary_pre_S5,en,scriptedAngles/spouse-01_judge_questions.en.json,PASS,non-S5 leaks=0 / S5 hits=0,Surface-only channel. Truth lexemes never permitted regardless of stage.
truth_boundary_pre_S5,en,dialogues/phase1+mediation+cases+angle_catalog,PASS,total truth-lexeme hits=0 across all small-surface en sidecars,Surface-only context throughout.
truth_boundary_pre_S5,ja,scriptedText/spouse-01.ja.json,PASS,non-S5 leaks=0 / S5 hits=108,"JA truth lexemes audited (兄/実兄/姪/甥/中学生の姪/中学2年生/委任状偽造/委任状の偽造/投資詐欺/兄の借金/学用品/学校通知/義実の兄/兄のオフィステル/兄に渡し/兄に現金). Zero pre-S5 leaks."
truth_boundary_pre_S5,ja,scriptedAngles/spouse-01_interrogation_answers.ja.json,PASS,non-S5 leaks=0 / S5 hits=1380,
truth_boundary_pre_S5,ja,scriptedAngles/spouse-01_judge_questions.ja.json,PASS,non-S5 leaks=0 / S5 hits=0,
