priority,file_or_component,risk,affected_locales,recommendation
P0,src/components/pc/hotbar/PCBottomDock.tsx :: .hotbar-special-btn (분리 심문 / 비공개 보호 / 즉답 요구) and pc.css :24180-24277,"max-width steps 92px → 58px with white-space:nowrap + ellipsis on Korean 4글자 fits but EN 'Confidential Protection' / 'Separate Interrogation' / 'Demand Immediate Answer' clip to 1-2 chars below 1320px","en|ja|zh-CN","≥1320px raise max-width to 120px and shorten EN labels (Separate / Confidential / Immediate); below 1320px hide inner span and rely on icon + kbd + title= for accessibility"
P0,src/components/pc/hotbar/PCBottomDock.tsx :: .slot-nm (사실 추궁 / 동기 탐색 / 공감 접근 / 자유 질문 / 증거 제시 / 증인 소환) and pc.css :9470-9476 / :24216-24218,"6-col grid minmax(62px,1fr) at 1280-1320px with font-size:10px line-height:1.15 — EN labels (≈12 chars) cannot single-line and there is no clamp/ellipsis fallback","en|ja","Allow 2-line clamp on .slot-nm (display:-webkit-box;-webkit-line-clamp:2;-webkit-box-orient:vertical;overflow:hidden), raise .slot min-height to ~62px, add compact EN glossary aliases (Facts / Motive / Empathy / Free Q / Evidence / Witness)"
P0,src/components/pc/result/PCResultScreen.tsx :: TABS '01 결과 확인 / 02 판결 선고 / 03 후일담 / 04 보너스' rendered both vertical (.pc-result-step-link) and horizontal (.pc-result-tab),"EN '02 Verdict Pronouncement' / '03 Aftermath' is 2× KO width; sidebar column truncates with no ellipsis","en|zh-CN","Drop numeric prefix on non-KO via t() (EN: Result/Verdict/Epilogue/Bonus; JA: 結果/判決/後日談/ボーナス; zh: 结果/判决/后日谈/奖励); add min-width:0 + overflow-wrap:anywhere on .pc-result-step-link"
P0,src/components/pc/home/PCHomeScreen.tsx :: formatHallOfFameCaseLabel inside .pc-ranking-row-v2__copy,"Long EN/JA/zh case titles push score column off-screen — no min-width:0 + ellipsis on flex children","en|ja|zh-CN","Apply min-width:0 to row; add overflow:hidden + text-overflow:ellipsis + white-space:nowrap on title <strong>; clamp subtitle to 1 line"
P0,src/components/pc/verdict/PCVerdictScreen.tsx :: STEPS '01 쟁점 판단 / 02 안건 책임 / 03 해결안 / 04 판결문' in .pc-verdict-rail__chip and .pc-verdict-step-link,"EN 'Case Responsibility' / 'Resolution Options' overflow chip width and sidebar column","en|zh-CN","Drop numeric prefix in non-KO; add min-width:0 + overflow-wrap:anywhere on chip and step-link; allow 2-line wrap in sidebar variant"
P1,src/app/pc.css :: 80+ rules with word-break:keep-all without paired overflow-wrap (lines 8898 / 18289 / 18909 / 19052 etc.),"Good for KO/JA but EN long words won't break and will overflow flex containers — fixed widths are unsafe","en","Add a single locale-aware base near :root using <html lang> already set by I18nProvider — html[lang^='en'] body.pc-mode { word-break:normal; overflow-wrap:break-word; hyphens:auto; }"
P1,src/app/pc.css :: .pc-play-hbar grid-template-columns steps 196px 1fr 196px → 78px 1fr 78px at 1320px (with .char-info display:none),"Steam Deck 1280×800 sits exactly on this boundary; EN/JA hotbar special row clips","en|ja|zh-CN","Add Steam-Deck-tuned media query (max-width:1280px and max-height:900px) that further compacts the special row to icon-only with kbd, drops slot key badge size, hides .char-info earlier"
P1,src/components/pc/home/PCHomeScreen.tsx :: AxisRow poles (논리/직관 · 엄격/관용 · 원칙/봉합) — .pc-axis-row__pole has no max-width,"EN/JA pole labels double width and may collide with the line indicator","en|ja|zh-CN","Add font-size:11px clamp + max-width:6em + text-align:center + line-height:1.1 on .pc-axis-row__pole; allow 2-line wrap"
P1,src/components/pc/home/PCHomeScreen.tsx :: Judge desk tabs '정보 확인 / 판결 기록 / 재판관 관리' — .pc-desk-tab min-width:132px,"Risk only if translator picks long phrases; EN 'Manage Judge' fits but 'Verdict Records (Detailed)' would not","en|ja","Keep min-width but add white-space:nowrap + overflow:hidden + text-overflow:ellipsis + min-width:0 defensive fallback; provide compact translations via glossary"
P1,src/components/pc/settings/PCSettingsPanel.tsx :: sidebar items + __badge '준비 중',"EN 'Accessibility' + 'Coming Soon' badge approaches 240px sidebar column; JA 'アクセシビリティ' longer","en|ja","Drop badge text to icon (• or small dot) on non-KO and surface 'Coming Soon' via title; add min-width:0 to .pc-settings-sidebar__item and overflow:hidden + text-overflow:ellipsis on __label"
P1,src/components/pc/home/PCHomeScreen.tsx :: ScreenPresetConfirmModal buttons '예 / 아니요' use bare .pc-inline-button (no min-width),"EN 'Yes/No' tiny; 'Keep Resolution / Revert' would unbalance","en|zh-CN","Add min-width:96px + padding-inline:18px to .pc-inline-button when used inside .pc-resolution-confirm__actions"
P1,src/components/pc/hotbar/PCBottomDock.tsx :: .pc-advance-banner shows label twice ('판결 단계로 진행할 수 있습니다' + button '판결 단계로 진행'),"EN sentence + button label exceeds 1280px row; banner has no flex-wrap and no ellipsis","en|zh-CN","Allow flex-wrap:wrap and gap:8px; shorten the sentence (EN: 'Ready: Verdict phase' or 'You can advance'); cap __text to single line with ellipsis"
P1,src/components/pc/result/PCResultScreen.tsx :: hero meta cards (관계/쟁점/증거) — repeat(3,minmax(0,1fr)),"KO single-char strong values; EN 'Tenant–Landlord' / 'Spouse' wraps inside the strong","en|ja","Add font-size:11px + min-width:0 on __meta-card span; clamp to 1 line; allow 2-line on the value <strong>"
P1,src/components/pc/hotbar/PCBottomDock.tsx :: .char-emo emotion chips (경계/자신감/동요/격앙/체념),"EN 'Defensive / Confident / Shaken / Angry / Resigned' longer; chip area is small","en","Place emotion chip on its own line under the name (.char-info { flex-direction:column; align-items:flex-start }) with font-size:10px"
P1,src/app/pc.css :: 80+ instances of font-size 9-10px (.slot-nm / .hotbar-mode / .hotbar-special-btn / .pc-language-selector__label),"CJK glyphs at 9-10px (especially ja kanji / zh-CN hanzi) are unreadable on Steam Deck DPI","ja|zh-CN","Floor CJK to 11px via locale class — :root[lang^='ja'] body.pc-mode .slot-nm, :root[lang^='zh'] body.pc-mode .slot-nm { font-size:11px; letter-spacing:0 }; apply to hotbar-special-btn / kbd / settings sidebar badge"
P2,src/app/pc.css :: 78+ instances of text-transform:uppercase + letter-spacing:0.12em-0.22em (eyebrows JUDGE PROFILE / RESULT DOSSIER / GENERAL MODE),"KO/JA/zh do not benefit from uppercase; tracking widens chars and CJK looks broken","ja|zh-CN","Either keep eyebrows English-only as design constants (document in style guide) or remove text-transform:uppercase and reduce letter-spacing to 0.04em for non-Latin via :root[lang]:not([lang^='en'])"
P2,src/components/pc/result/PCResultScreen.tsx :: getRating ('전설적인 재판관' → 'Legendary Judge') inside .pc-result-hero__rating,"EN 'Failed Judgment' / 'Legendary Judge' longer; container has no overflow rule","en","Add text-align:center + max-width:100% + overflow-wrap:anywhere to .pc-result-hero__rating"
P2,src/components/pc/debug/PCTestConsole.tsx :: actions grid '44px 44px 44px 1fr 54px' with resourceHead labels '조사 토큰' / '스킬 포인트' / '법정 장악',"EN 'Investigation Token' / 'Skill Point' won't fit 1fr after 3 buttons + input + 54px","en","Shorten label per glossary (Token / Skill / Court); add min-width:0 + font-size:12px + overflow:hidden + text-overflow:ellipsis to resourceHead span"
P2,src/components/pc/layout/PCInteractionPanel.tsx :: .pc-interaction-card__action min-width:180px flex:1 1 180px,"Long EN action verbs ('Run Separate Interrogation (-1 ⚡)') still wrap thanks to flex-wrap:wrap; only readability concern","en","Add padding-block:12px; remove emoji prefix from action label and render symbol via icon component"
