source_ko,proposed_ja,context,path_or_key,relation_to_ui_glossary,risk,notes
재판관님,裁判官,"NPC vocative addressing the judge — appears in nearly every ScriptedText interrogation/witness/evidence_present variant via tag judgeAddress:재판관님 and inline in text","scriptedText/spouse-01.json variants[*].tags + .text",extends,low,"UI glossary has judge=裁判官. JA NPC speech naturally drops 様/さん honorific in courtroom context — `裁判官` standalone as vocative reads like `your honor`. Proposal: use `裁判官` as bare form. Avoid `裁判長` which implies presiding-judge role over a panel."
제 남편,夫,"Party A (wife) referring to husband — spouse-01 ScriptedText interrogation channel, callTerm:제_남편 tag","scriptedText/spouse-01.json a-d-1-S0-fact-pursuit-v* / cases/generated/spouse-01.json duo.partyA.callTerms.toJudge",new_script_term,medium,"Direct equivalent `夫` is correct register for formal courtroom speech. Avoid `主人` (outdated/sexist), `旦那` (casual)."
제 아내,妻,"Party B (husband) referring to wife — callTerm:제_아내 tag","scriptedText/spouse-01.json b-* / cases/generated/spouse-01.json duo.partyB.callTerms.toJudge",new_script_term,low,"Use `妻` for formal register. Avoid `家内` (formal-stiff and male-side specific), `嫁` (casual / regional)."
자기야,あなた,"Party A's tone-shift address to husband within earshot of judge (spouse-01 phase1 line 67)","dialogues/phase1/spouse-01.json speaker:a (post-c1_press_b)",new_script_term,medium,"Korean `자기야` is intimate and accusatory in this context. JA `あなた` (vocative) carries the same intimate-married-couple register and works in courtroom. Alternative: `ねえ` for softer accusation, but `あなた` keeps the aggrieved-spouse weight."
이준호 씨,イ・ジュノさん,"Judge addressing party B by name + honorific — judge_question channel","scriptedAngles/spouse-01_judge_questions.json judgeq-d-1-fact_pursuit-b-general-v1",new_script_term,low,"Korean names romanized in JA standard `イ・ジュノ`. Honorific `さん` is correct for judge→party formal register. Do NOT use `氏` (newspaper-formal, too distant)."
박지연 씨,パク・ジヨンさん,Same as above for party A,"scriptedAngles/spouse-01_judge_questions.json judgeq-d-1-fact_pursuit-a-general-v1",new_script_term,low,Same pattern. `パク・ジヨン` standard romanization.
오피스텔,オフィステル,"Korean apartment-office hybrid building type — surface vocabulary in spouse-01","cases/generated/spouse-01.json + scriptedText spouse-01 d-1 entries",new_script_term,medium,"`オフィステル` is the established JA loan word for the Korean concept (frequent in JA news/realestate coverage of Korea). Alt `マンション` loses the ambiguity (residential vs office) which is plot-relevant. KEEP `オフィステル`."
블랙박스,ドライブレコーダー,"Korean dashcam — appears in spouse-01 a-d-1-S0 evidence","scriptedText/spouse-01.json a-d-1-S0-fact-pursuit-v1",new_script_term,low,"JA standard term `ドライブレコーダー` (or `ドラレコ` casual). Avoid `ブラックボックス` which means flight recorder."
네비,ナビ,"Car navigation favorite-list — spouse-01 a-d-1-S0-fact-pursuit-v3 mentions ""네비 즐겨찾기""","scriptedText/spouse-01.json a-d-1-S0-fact-pursuit-v3",new_script_term,low,"JA `カーナビ` or `ナビ`. `ナビ` is fine in dialogue. `お気に入り` for favorites."
공동 적금,共同貯蓄,Joint savings account — spouse-01 d-2 dispute,"cases/generated/spouse-01.json dispute d-2",new_script_term,medium,"JA does not have a one-to-one equivalent for `적금` (Korean recurring-deposit savings). Options: `共同貯蓄` (clear, used) / `夫婦共有預金` (clearer, longer). Recommend `共同貯蓄` for compactness."
위임장,委任状,Power of attorney — spouse-01 truth lexeme (S5 only),"cases/generated/spouse-01.json + confessionScripts.ts A-h-d3-d4",new_script_term,high,"JA `委任状` is exact match. RISK: this is a forbidden lexeme in surface-only channels; JA translator must apply same gating as KO. Add to JA forbidden-lexeme set."
투자 사기,投資詐欺,Investment fraud — spouse-01 truth lexeme (S5 only),"cases/generated/spouse-01.json + confessionScripts.ts A-d4",new_script_term,high,"JA `投資詐欺` exact match. RISK: same — must be gated."
친형,実の兄,"Biological older brother — spouse-01 truth lexeme (B's S5 confession only)","confessionScripts.ts B-d2 + scriptedText spouse-01 b S5 entries",new_script_term,critical,"JA `実の兄` (biological/real older brother). Highest-risk truth lexeme — disclosure-policy.md §4.1 lists `형`/`친형` as forbidden in judge/system/dossier. JA translator must NEVER let `兄` appear in surface channels before S5. Surface paraphrase: `家族の事情` / `身内の件` / `事情のある相手`."
조카,甥,"Nephew (B's brother's child) — spouse-01 truth lexeme","confessionScripts.ts B-d1 + scriptedText spouse-01 b S5",new_script_term,critical,"JA `甥` for nephew. Truth lexeme. Surface paraphrase candidates: `身近な未成年者` / `親戚の子` (still leaks family/blood). Recommend `身内の用事` style abstraction in surface channels."
중2,中学2年生,"Middle school 2nd grade — surface descriptor of nephew","confessionScripts.ts B-d1",new_script_term,high,"JA `中学2年生` exact. Combined with 甥/兄 in S5 confession only."
개인 비자금,個人の隠し財産,B's secret personal funds — spouse-01 truth lexeme,"cases/generated/spouse-01.json + confessionScripts.ts",new_script_term,high,"JA `隠し財産` (hidden funds) or `へそくり` (informal personal stash). For courtroom register prefer `個人の隠し財産` or `自分のへそくり`. RISK: gating critical."
딴살림,別の家庭,B's alleged second household (A's accusation framing),"cases/generated/spouse-01.json meta.emotionalBait + dialogues/phase1/spouse-01.json (implied)",new_script_term,medium,"JA `別の家庭` or `二重生活`. `二重生活` (double life) carries the affair connotation A is implying. `愛人を作って別の家庭を持っている` for full unpacking. For compact JA UI use `別世帯` / `二重生活`."
외도,浮気,"Affair / infidelity — A's accusation frame, surface-allowed (it's the OPEN dispute, not the hidden truth)","cases/generated/spouse-01.json + dialogues/phase1/spouse-01.json",new_script_term,low,"JA `浮気` is right register. `不倫` (more formal/legal) acceptable in judge speech. NOTE: `외도` is the SURFACE accusation, NOT the hidden truth — it's safe in all channels."
새벽 통화,深夜の通話,Late-night phone calls — surface-level dispute element,"dialogues/phase1/spouse-01.json + scriptedText spouse-01 d-1",new_script_term,low,"Korean 새벽 = pre-dawn (~3-5am). JA `深夜` covers it but loses pre-dawn nuance. `明け方の通話` is more literal. For UI compactness use `深夜の通話`. NOTE: surface-allowed (judge channels can mention this)."
영수증 묶음,レシートの束,"Bundle of receipts (5 items) — evidence e-1 surfaceName","cases/generated/spouse-01.json evidence.e-1.surfaceName",new_script_term,low,"JA `レシートの束` natural. Surface-allowed. Avoid `領収書` which means formal/itemized receipt."
블랙박스 GPS 기록,ドライブレコーダーのGPS記録,Evidence e-2 surfaceName,"cases/generated/spouse-01.json evidence.e-2.surfaceName",new_script_term,low,"JA `ドライブレコーダーのGPS記録`. Compact alternative: `車載GPS記録`."
통화기록,通話記録,Evidence e-3 surfaceName,"cases/generated/spouse-01.json evidence.e-3.surfaceName",new_script_term,low,JA `通話記録` exact match.
발신자 미상 문자,差出人不明のメッセージ,Evidence e-4 surfaceName (KO HIDES the truth — actual content is brother's text thread),"cases/generated/spouse-01.json evidence.e-4.surfaceName + disclosure-policy.md §4.1",extends,critical,"JA `差出人不明のメッセージ` preserves the surface ambiguity. RISK: e-4 is the highest-leak-risk evidence per disclosure policy. JA translator must NEVER use `兄` / `お兄さん` / `甥` in this evidence's surface description."
개인 계좌 출금 내역,個人口座の出金履歴,Evidence e-5 surfaceName,"cases/generated/spouse-01.json evidence.e-5.surfaceName",new_script_term,medium,"JA `個人口座の出金履歴`. Surface-allowed. Truth content (`형에게 전달` etc.) MUST NOT appear in JA surfaceDescription."
투자방 카톡 기록,投資チャットルームの履歴,Evidence e-6 surfaceName (KakaoTalk → JA chat),"cases/generated/spouse-01.json evidence.e-6.surfaceName",new_script_term,medium,"`카톡` = KakaoTalk. JA convention: keep `カカオトーク` (loanword) or generalize to `チャットアプリ` / `メッセージ履歴`. For player clarity recommend `投資チャットルームの履歴` (generalized)."
공동 적금 해지 서류,共同貯蓄解約書類,Evidence e-7 surfaceName,"cases/generated/spouse-01.json evidence.e-7.surfaceName",new_script_term,medium,"JA `共同貯蓄解約書類`. Pairs with 공동 적금 glossary candidate above."
재판관의 관찰,裁判官の観察,UI panel name surfaced inside system_message variants,"scriptedText/spouse-01.json system_message + information-surface-policy.md §2.2",matches,low,"UI glossary already has observation = 観察. Glossary recommends `재판관의 관찰` panel — JA `裁判官の観察` (panel header) / `観察` (compact)."
재판관의 수첩,裁判官のノート,UI panel name surfaced inside system_message variants,"scriptedText/spouse-01.json system_message + information-surface-policy.md §2.3",matches,low,UI glossary has notebook = ノート. JA `裁判官のノート`.
발언노트,発言ノート,UI label,"information-surface-policy.md §2.4",new_script_term,low,"Distinct from `notebook` (ノート). Specific UI: 발언노트 = utterance notes / speech log. Recommend `発言ノート` (literal). Alt `スピーチノート` reads as English-loanword bloat."
모순,矛盾,"`Contradiction` system term, in system_message text","scriptedText/spouse-01.json system_message + information-surface-policy.md",matches,low,UI glossary has contradiction = 矛盾. Confirmed.
진술이 흔들립니다,供述が揺らいでいます,"system_message sample line — UI compact register","scriptedText system_message + information-surface-policy.md §2.1 sample",new_script_term,low,"JA `供述が揺らいでいます` natural. Alt `供述に揺らぎが見えます`. Keep ≤30 JA chars per UI policy."
새 쟁점이 기록되었습니다,新しい争点が記録されました,system_message sample,"scriptedText system_message + information-surface-policy.md",new_script_term,low,"JA exact. UI glossary already has dispute = 争点."
같은 질문이 맴돈다,同じ問いが繰り返される,"sys-interrogation-repeat_warning-v1 (system_message, observation register)","scriptedText/spouse-01.json sys-interrogation-repeat_warning-v1",new_script_term,low,"NOTE: KO uses 평서체 (`맴돈다`) per information-surface-policy.md §2.2 (judge inner monologue). JA equivalent register = plain form `繰り返される` / `空回りしている`. Avoid 합니다체 (`繰り返されます`) here."
다른 틈을 찾아보자,別の隙を探そう,"sys-interrogation-repeat_warning-v1 — judge inner-prompt register","scriptedText/spouse-01.json sys-interrogation-repeat_warning-v1",new_script_term,medium,"JA `別の隙を探そう` (volitional, judge self-talk) preserves observation register. Alt `別の角度から` for less-violent metaphor."
오피스텔 경비,オフィステルの警備員,Witness w-1 name (descriptive role),"scriptedText/spouse-01.json w-1 + cases/generated/spouse-01.json witnesses.w-1.name",new_script_term,low,JA `オフィステルの警備員` literal.
은행 직원,銀行員,Witness w-2 role,"cases/generated/spouse-01.json witnesses.w-2",new_script_term,low,JA `銀行員` standard.
박미라,パク・ミラ,Witness w-3 personal name,"cases/generated/spouse-01.json witnesses.w-3",new_script_term,low,Standard romanization.
