id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v1].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,The Judge first states how the Officetel Security Guard’s testimony will bear on vehicle entry frequency and who lived on that floor.,オフィステル警備員の証言が、車両の出入りの頻度とその階の居住状況にどう関わるかを裁判官が先に示す。,法官先说明韩式商住公寓保安的证言将如何影响车辆出入频率和该楼层居住情况。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v1_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v1].text,오피스텔 경비님을 즉시 모시겠습니다. 그 출입을 더 이상 정황 해석으로만 처리할 수 없습니다.,I will call the Officetel Security Guard at once. These entries can no longer be treated as mere circumstantial interpretation.,オフィステル警備員を直ちにお呼びします。その出入りを、これ以上状況の解釈だけで扱うことはできません。,立即传唤韩式商住公寓保安。那些出入不能再只按情况解读来处理。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v2].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,The Judge first states how the Officetel Security Guard’s testimony will bear on vehicle entry frequency and who lived on that floor.,オフィステル警備員の証言が、車両の出入りの頻度とその階の居住状況にどう関わるかを裁判官が先に示す。,法官先说明韩式商住公寓保安的证言将如何影响车辆出入频率和该楼层居住情况。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v2_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v2].text,"오피스텔 경비님, 들어오십시오. 차량 출입 빈도와 해당 층 거주 현황을 바로 확인하겠습니다.","Officetel Security Guard, please come in. We will immediately confirm the vehicle entry frequency and who lived on that floor.",オフィステル警備員、入ってください。車両の出入りの頻度とその階の居住状況をすぐ確認します。,韩式商住公寓保安，请进。现在确认车辆出入频率和该楼层的居住情况。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v3].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,The Judge first states how the Officetel Security Guard’s testimony will bear on vehicle entry frequency and who lived on that floor.,オフィステル警備員の証言が、車両の出入りの頻度とその階の居住状況にどう関わるかを裁判官が先に示す。,法官先说明韩式商住公寓保安的证言将如何影响车辆出入频率和该楼层居住情况。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v3_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v3].text,오피스텔 경비님의 증언으로 동선을 확정하겠습니다. 외도인지 다른 사정인지 현장부터 가리겠습니다.,The Officetel Security Guard’s testimony will settle the route. We will start from the scene to determine whether this was an affair or something else.,オフィステル警備員の証言で動線を確定します。不倫なのか別の事情なのか、現場から見極めます。,将通过韩式商住公寓保安的证言确认动线。先从现场判断这是出轨还是另有情况。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v4].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,The Judge first states how the Officetel Security Guard’s testimony will bear on vehicle entry frequency and who lived on that floor.,オフィステル警備員の証言が、車両の出入りの頻度とその階の居住状況にどう関わるかを裁判官が先に示す。,法官先说明韩式商住公寓保安的证言将如何影响车辆出入频率和该楼层居住情况。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v4_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v4].text,오피스텔 경비님을 부르겠습니다. 이 방문 기록을 더 미루면 쟁점이 흐려집니다.,"I will call the Officetel Security Guard. If we put off these visit records any longer, the issue will blur.",オフィステル警備員をお呼びします。この訪問記録をこれ以上先送りすると、争点がぼやけます。,传唤韩式商住公寓保安。再拖延这些探访记录，争议点就会模糊。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v5].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,The Judge first states how the Officetel Security Guard’s testimony will bear on vehicle entry frequency and who lived on that floor.,オフィステル警備員の証言が、車両の出入りの頻度とその階の居住状況にどう関わるかを裁判官が先に示す。,法官先说明韩式商住公寓保安的证言将如何影响车辆出入频率和该楼层居住情况。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_hard_.variants_judgewit-w-1-hard-v5_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|hard].variants[judgewit-w-1-hard-v5].text,오피스텔 경비님 증언을 듣겠습니다. 누가 그 층에 있었는지 지금 확인해야 합니다.,We will hear from the Officetel Security Guard. We must now confirm who was on that floor.,オフィステル警備員の証言を聞きます。その階に誰がいたのか、今確認しなければなりません。,听取韩式商住公寓保安的证言。现在必须确认那一层都有谁。,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
