id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.briefing-advance.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.briefing-advance.body,사건 개요를 확인하고 아래 시작 버튼을 눌러주세요.,"Review the case summary, then begin.",事件概要を確認してから開始する。,先确认案件概要，再开始。,KR 재작성 (존댓말 + Flicky 마스코트 톤). 명확한 행동 지시. EN/JA/ZH-CN 재번역 필요.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.initial-statement-acknowledge.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.body,양측의 진술 단계예요. 화면 안내에 따라 진행해주세요.,Both parties' first statements are in progress. Follow the on-screen guidance to continue.,双方の陳述が進行中です。画面の案内に沿って進めてください。,双方陈述正在进行。请按照画面提示继续。,"KR 재작성. fallback 일반 메시지 (advance/choice 두 변형 모두 매치되지 않을 때만 사용)."
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.initial-statement-acknowledge.advance.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.advance.body,[다음 진술] 버튼을 눌러 다음 발언으로 넘어가주세요.,Press [Next Statement] to advance to the next remark.,[次の陳述] ボタンを押して次の発言に進んでください。,请点击 [下一陈述] 按钮，进入下一段发言。,"신규 키 (variant: advance). .pc-dialogue-advance 매치 시 사용. [다음 진술] 대괄호 UI 라벨은 4언어 표기 통일."
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.initial-statement-acknowledge.choice.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.initial-statement-acknowledge.choice.body,재판관으로서 판단해주세요. 어느 선택지든 마음에 드는 것을 골라보세요.,Decide as the Judge — pick any of the choices that feels right.,裁判官として判断してください。どの選択肢でも、気になるものを選んでみましょう。,以法官的身份做判断吧。任选一个您喜欢的选项即可。,"신규 키 (variant: choice). .v4-choice-panel__option 매치 시 사용. 재판관 판단 선택지 multi-choice cycling step. 자유 선택 톤 유지."
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.dispute-focus-d1.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.dispute-focus-d1.body,심리할 쟁점을 골라주세요. 강조된 쟁점부터 시작해볼까요?,Choose an issue to begin the hearing.,扱う争点を選び、審理を始める。,选择要处理的争议点，开始审理。,KR 재작성. 친근한 안내 톤 (~볼까요?).
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.target-select-b.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.target-select-b.body,누구에게 질문할지 골라주세요. 대상에 따라 답이 달라져요.,The answer changes with the target.,誰に問うかで答えが変わる。,问谁，答案就会改变。,KR 재작성. 누구에게 질문할지 명확.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.question-fact.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.question-fact.body,[사실 추궁] 메뉴에서 묻고 싶은 질문을 골라주세요. 어떤 질문이든 좋아요.,Press for grounds and find gaps in the statement.,根拠を問いただし、陳述のほころびを探る。,追问依据，找出陈述中的破绽。,KR 재작성. [사실 추궁] 메뉴 명시 + 어떤 질문이든 좋다는 자유 선택 안내.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.evidence-investigate-e2.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-investigate-e2.body,증거 카드를 눌러 자세히 살펴보세요. 단서가 추가로 드러나요.,Examine evidence closely to uncover clues.,証拠を詳しく調べ、手がかりを得る。,仔细调查证据，获取线索。,KR 재작성. 증거 카드 클릭 동작 명시.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.evidence-present-e2-to-b.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.evidence-present-e2-to-b.body,조사한 증거를 상대에게 제시해 진술을 흔들어보세요.,Present evidence to challenge a statement.,証拠を提示し、陳述を揺さぶる。,出示证据，动摇陈述。,KR 재작성. 조사 → 제시 흐름 연결.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.feedback-acknowledge.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.feedback-acknowledge.body,상대의 반응을 살펴보세요. 진술이 어떻게 흔들리는지 보여요.,Statement changes are shown plainly.,陳述の変化がそのまま表れる。,陈述的变化会直接显现。,KR 재작성. 상대 반응을 살피라는 명확한 안내.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.observation-hint.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.observation-hint.body,중요한 변화는 [재판관 수첩]에 자동으로 기록돼요. 잠시 후 다음으로 넘어가요.,Important changes are recorded here.,重要な変化はここに記録される。,重要变化会记录在这里。,KR 재작성. [재판관 수첩] 위치 명시 + 자동 진행 안내.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.tutorial-complete.title,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.tutorial-complete.title,준비 완료!,Ready,準備完了,准备就绪,KR title 끝 ! 추가 (열기). 다국어도 동일 emphasis.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.tutorial-complete.body,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.tutorial-complete.body,이제 진실은 당신의 손에 달려 있어요. 직접 밝혀주세요.,Now the truth is yours to uncover.,ここから真実はあなたが明らかにする。,接下来，由你揭开真相。,KR 재작성. 마무리 emotional beat. 직접 밝혀달라는 요청.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.waiting-target,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.waiting-target,안내를 준비하고 있어요,Preparing Guidance,案内を準備中,指引准备中,KR 재작성 (존댓말). 짧은 시스템 메시지.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.reopen-button,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.reopen-button,튜토리얼 안내,Tutorial Guide,チュートリアル案内,教程指引,신규 키. 우상단 안내 재열기 pill 라벨. 메인 1차 작성.
ui_i18n_message_src_i18n_messages_tutorial.ts_pc.tutorial.spouse01.close-button,ui_i18n_message,src/i18n/messages/tutorial.ts,spouse-01,pc.tutorial.spouse01.close-button,안내 접기,Hide Guide,案内を閉じる,收起指引,신규 키. 카드 (i)/X 버튼 aria-label. 메인 1차 작성.
