id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
ui_i18n_message_src_i18n_messages_common.ts_app.title,ui_i18n_message,src/i18n/messages/common.ts,,app.title,솔로몬의 딜레마: 진실의 무게,Justitia : Weight of Truth,ソロモンのジレンマ : 真実の重さ,包青天的抉择 : 真相之重,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_brand.fullTitle,ui_i18n_message,src/i18n/messages/common.ts,,brand.fullTitle,솔로몬의 딜레마: 진실의 무게,Justitia : Weight of Truth,ソロモンのジレンマ : 真実の重さ,包青天的抉择 : 真相之重,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_brand.internalProjectName,ui_i18n_message,src/i18n/messages/common.ts,,brand.internalProjectName,Project_Solomon,Project_Solomon,Project_Solomon,Project_Solomon,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_brand.subtitle,ui_i18n_message,src/i18n/messages/common.ts,,brand.subtitle,진실의 무게,Weight of Truth,真実の重さ,真相之重,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_brand.title,ui_i18n_message,src/i18n/messages/common.ts,,brand.title,솔로몬의 딜레마,Justitia,ソロモンのジレンマ,包青天的抉择,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_language.selectorLabel,ui_i18n_message,src/i18n/messages/common.ts,,language.selectorLabel,언어,Language,言語,语言,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_language.selectorTitle,ui_i18n_message,src/i18n/messages/common.ts,,language.selectorTitle,표시 언어 선택,Select display language,表示言語を選択,选择显示语言,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_session.preparing.description,ui_i18n_message,src/i18n/messages/common.ts,,session.preparing.description,사건 데이터와 재판 환경을 불러오고 있습니다.,Loading case data and the courtroom environment.,事件データと法廷環境を読み込んでいます。,正在加载案件数据和审判环境。,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_session.preparing.title,ui_i18n_message,src/i18n/messages/common.ts,,session.preparing.title,세션 준비 중,Preparing session,セッション準備中,正在准备会话,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_splash.subtitle,ui_i18n_message,src/i18n/messages/common.ts,,splash.subtitle,법정 시뮬레이션 게임,COURT SIMULATION GAME,法廷シミュレーションゲーム,法庭模拟游戏,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_steam.authFailedFallback,ui_i18n_message,src/i18n/messages/common.ts,,steam.authFailedFallback,Steam 인증에 실패했습니다.,Steam authentication failed.,Steam認証に失敗しました。,Steam 认证失败。,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_steam.authRequired.description,ui_i18n_message,src/i18n/messages/common.ts,,steam.authRequired.description,Steam 클라이언트와 서버 인증 상태를 확인한 뒤 다시 시도하세요.,"Check the Steam client and server authentication state, then try again.",Steamクライアントとサーバー認証の状態を確認してから、もう一度お試しください。,请检查 Steam 客户端和服务器认证状态，然后重试。,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_steam.authRequired.retry,ui_i18n_message,src/i18n/messages/common.ts,,steam.authRequired.retry,다시 시도,Retry,再試行,重试,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_common.ts_steam.authRequired.title,ui_i18n_message,src/i18n/messages/common.ts,,steam.authRequired.title,Steam 인증이 필요합니다,Steam authentication required,Steam認証が必要です,需要 Steam 认证,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.combo.potential,ui_i18n_message,src/i18n/messages/court.ts,,pc.combo.potential,실마리 필요 {count}개 - 아직 찾지 못한 단서가 있는 듯,{count} leads still missing — keep investigating,手がかり要 {count}件 ─ まだ見つかっていない手がかりがあるようです,需要线索 {count} 个 — 似乎还有未发现的线索,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.combo.ready,ui_i18n_message,src/i18n/messages/court.ts,,pc.combo.ready,조합 가능 {count}개 - 지금 바로 연결 가능,{count} ready to combine — connect now,組み合わせ可能 {count}件 ─ 今すぐ連結できます,可组合 {count} 个 — 现在可连接,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.combo.readyDetailLabel,ui_i18n_message,src/i18n/messages/court.ts,,pc.combo.readyDetailLabel,조합 가능 항목 상세,Combinable Item Details,組み合わせ可能項目の詳細,可组合项目详情,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.combo.readyItemsNotice,ui_i18n_message,src/i18n/messages/court.ts,,pc.combo.readyItemsNotice,조합 가능한 항목이 {count}개 있습니다,{count} combinable items available,組み合わせ可能な項目が{count}件あります,有 {count} 个可组合项目,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.combo.readyMaterialsNotice,ui_i18n_message,src/i18n/messages/court.ts,,pc.combo.readyMaterialsNotice,조합 가능한 재료가 {count}개 준비되었습니다,{count} combinable materials ready,組み合わせ可能な材料が{count}件揃いました,已准备 {count} 个可组合材料,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.combo.readyPairToast,ui_i18n_message,src/i18n/messages/court.ts,,pc.combo.readyPairToast,조합 가능한 쌍이 준비되었습니다,A combinable pair is ready,組み合わせ可能なペアが準備できました,可组合的一组已准备好,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.notes.unseen,ui_i18n_message,src/i18n/messages/court.ts,,pc.notes.unseen,(미확인 항목 {count}개),({count} unverified),（未確認項目 {count}件）,（未确认项目 {count} 个）,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.recordSummary.moreConvincing,ui_i18n_message,src/i18n/messages/court.ts,,pc.recordSummary.moreConvincing,{party} 쪽 주장이 더 설득력 있다고 판단했습니다.,{party}’s claim is more convincing.,{party}側の主張のほうが説得力があると判断しました。,判定 {party} 一方的主张更有说服力。,"UI, system, panel, tooltip, or control label from i18n message bundle."
ui_i18n_message_src_i18n_messages_court.ts_pc.verdictAdvance.conditionsMissing,ui_i18n_message,src/i18n/messages/court.ts,,pc.verdictAdvance.conditionsMissing,아직 판결 조건을 충족하지 못했습니다. 쟁점별 진실과 증거를 더 확인하세요.,"Verdict conditions are not met yet. Verify each dispute, truth, and evidence first.",まだ判決条件を満たしていません。争点ごとの真相と証拠をさらに確認してください。,尚未满足裁决条件。请先确认各争议点的真相与证据。,"UI, system, panel, tooltip, or control label from i18n message bundle."
