path,surface_type,case_id,authoritative_status,text_fields,estimated_text_items,notes
src/data/scriptedText/spouse-01.json,scripted_text_bundle,spouse-01,active,"text, behaviorHint",560 entries / 4677 variants,Primary scripted bundle. Channels: interrogation/evidence_present/dossier/witness/aftermath/system_message/contradiction_pursuit/interjection/emotional_overload/evidence_discovery/trust_action/mediation/judge_question/judge_contradiction/judge_evidence_combo/judge_witness_summon/rapport_milestone/contradict_milestone. variantsPerKey 5 or 10.
src/data/scriptedText/family-01.json,scripted_text_bundle,family-01,active,"text, behaviorHint",632 entries / 5262 variants,Same structure as spouse-01.
src/data/scriptedText/friend-01.json,scripted_text_bundle,friend-01,active,"text, behaviorHint",605 entries / 5097 variants,Same structure as spouse-01.
src/data/scriptedAngles/spouse-01_angle_catalog.json,scripted_angle_catalog,spouse-01,active,"label, description, keywords, truthBoundary.beforeS5MustNotSay, truthBoundary.s5CanSay",22 angles,"label and description are user-visible angle names. keywords are matching tokens (KO morphology); EN translation needs a parallel keyword list, not a literal one. truthBoundary lexemes must stay as KO source (used by KO disclosure guard); add EN companion list if EN runtime guard is added."
src/data/scriptedAngles/family-01_angle_catalog.json,scripted_angle_catalog,family-01,active,"label, description, keywords, truthBoundary.*",26 angles,Same as spouse-01.
src/data/scriptedAngles/friend-01_angle_catalog.json,scripted_angle_catalog,friend-01,active,"label, description, keywords, truthBoundary.*",20 angles,Same as spouse-01.
src/data/scriptedAngles/spouse-01_judge_questions.json,scripted_judge_questions,spouse-01,active,"text, behaviorHint",132 entries / 660 variants,Judge-channel surface-only. EN must preserve disclosure-policy §2.1 — no truth lexemes before S5.
src/data/scriptedAngles/family-01_judge_questions.json,scripted_judge_questions,family-01,active,"text, behaviorHint",156 entries / 780 variants,Same.
src/data/scriptedAngles/friend-01_judge_questions.json,scripted_judge_questions,friend-01,active,"text, behaviorHint",120 entries / 600 variants,Same.
src/data/scriptedAngles/spouse-01_interrogation_answers.json,scripted_interrogation_answers,spouse-01,active,"text, behaviorHint",792 entries / 7920 variants,NPC angle-routed answers. Truth boundary follows lieState — see disclosure-policy §3.
src/data/scriptedAngles/family-01_interrogation_answers.json,scripted_interrogation_answers,family-01,active,"text, behaviorHint",936 entries / 9360 variants,Same.
src/data/scriptedAngles/friend-01_interrogation_answers.json,scripted_interrogation_answers,friend-01,active,"text, behaviorHint",720 entries / 6300 variants,Same.
src/data/scriptedAngles/spouse-01_special_scripts.json,scripted_special_scripts,spouse-01,active,"text, preConfession, confessionMain, postConfession, behaviorHint",136 entries,"Mixed buckets: confessions / interjections / s5RequestionResponses / postS5Requestions / emotionalOverload / trustAction / evidenceDiscovery / judgeEvidenceCombo / judgeWitnessSummon / dossierPrompts. Schema treats arrays as unknown[]; per-bucket entry shape varies."
src/data/scriptedAngles/family-01_special_scripts.json,scripted_special_scripts,family-01,active,"text, preConfession, confessionMain, postConfession, behaviorHint",178 entries,Same buckets.
src/data/scriptedAngles/friend-01_special_scripts.json,scripted_special_scripts,friend-01,active,"text, preConfession, confessionMain, postConfession, behaviorHint",115 entries,Same buckets.
src/data/scriptedAngles/free_interrogation_mapping_schema.json,policy_schema,(global),test_or_policy,(none — schema only),0 user-visible strings,Schema for free-interrogation mapping. No translatable text.
src/data/scriptedAngles/free_interrogation_response_policy.json,policy,(global),test_or_policy,"behavior labels (mostly enum-like)",~30 (mostly enum keys),Policy bands and fallback definitions. Translate only any UI-surfacing fallback message strings; do not translate enum keys.
src/data/scriptedAngles/free_interrogation_test_cases.json,test_fixture,(global),test_or_policy,"sample question text, expected behavior labels",~150,QA fixtures. Translate only when EN free-interrogation test coverage is added.
src/data/dialogues/phase1/spouse-01.json,phase1_dialogue,spouse-01,active,"text, behaviorHint, options[].text",34 dialogues + branching choices,Phase 1 opening statements. Loaded by dialogue runtime.
src/data/dialogues/phase1/family-01.json,phase1_dialogue,family-01,active,"text, behaviorHint, options[].text",34 dialogues + branching choices,Same.
src/data/dialogues/phase1/friend-01.json,phase1_dialogue,friend-01,active,"text, behaviorHint, options[].text",34 dialogues + branching choices,Same.
src/data/dialogues/mediation/spouse-v3-01.json,mediation_dialogue,spouse-01,active,"paths.*.judge, paths.*.dialogues[].text, paths.*.dialogues[].behaviorHint","4 paths × ~3 lines + 4 judge intros, ~16 strings","Loaded for spouse-01 via mediationScriptLoader.ts versioned alias rule (-v3-01 → spouse-01). spouse-v2-01 and spouse-05/11/12 are superseded — see notes."
src/data/dialogues/mediation/spouse-v2-01.json,mediation_dialogue,spouse-01,legacy,paths.*,~12 strings,Lower priority than -v3-01 alias; not reached at runtime when v3 present.
src/data/dialogues/mediation/spouse-05.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Numeric suffix belongs to a Legacy storyline; not part of active 3.
src/data/dialogues/mediation/spouse-11.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/spouse-12.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
