row_id,channel,key,severity,issue_dim,kr_snippet,target_snippet,recommendation,note
"src/data/scriptedText/spouse-01.ja.json::channels.interrogation.entries[15].variants[0].text","scriptedText/interrogation","a-d-1-S5-fact-pursuit-v1","P0","D1 fact/amount","제가 위임장을 조작해 공동 적금 2,000만 원을 해지했습니다.","共同積立預金3,000万ウォンを解約する際、委任状に夫の署名を私が書きました。","共同積立預金2,000万ウォンを解約する際、委任状に夫の署名を私が書きました。","금액이 2,000만 원에서 3,000만 원으로 바뀌어 사건 핵심 금액이 뒤집힘."
"src/data/scriptedAngles/spouse-01_interrogation_answers.ja.json::answers[*].variants[*].text","scriptedAngles/interrogation_answers","pattern:外遇","P0","D1 meaning/cultural","외도 의심 / 불륜 상황","それを外遇の状況だと見る解釈には同意できません。","それを不倫の状況だと見る解釈には同意できません。","外遇는 일본어에서 불륜이 아니라 우대/대우 쪽 의미로 읽힘. 3510회 패턴성 오역."
"src/data/scriptedText/spouse-01.ja.json::channels.interrogation.entries[18-20].variants[2,4,6,7].text","scriptedText/interrogation","b-d-1-S0-*-v3/v5/v7/v8","P0","truth-leak lieState","상대를 지금 밝히기는 어렵습니다. / 사정이 있어 말하기 어렵습니다.","家族の事情に関わるため / 家庭の話が絡みます / 身内に関わる用件でした","相手を今明かすことはできません。 / 説明しにくい事情があります。","S0 pre-confession에서 가족/身内 단서가 반복 노출됨. spouse-01 정책상 가족 표현은 초기 거짓 알리바이 1회 외 반복 금지."
"src/data/scriptedText/spouse-01.ja.json::channels.dossier.entries[0].variants[*].text","dossier","dc-1-b-q1-early-v1-v10","P0","truth-leak lieBand","핵심의 이유는 아직 숨긴다.","家族側の事情でした。妻がまた深く傷つくのを恐れて、私は口を閉ざしました。","説明しづらい事情でした。妻がまた深く傷つくのを恐れて、私は口を閉ざしました。","dossier early band에서 가족 단서가 직접 노출됨. detect-truth-leak의 substring 기준도 家族の世話만 잡아 이 패턴은 수동 검수 대상."
"src/data/scriptedText/spouse-01.ja.json::channels.dossier.entries[1].variants[*].text","dossier","dc-1-b-q1-mid-v1-v10","P0","truth-leak lieBand","핵심의 이유는 제한적으로만 드러낸다.","家族の事情が関わっていました。義実家との葛藤と結婚への影響を恐れて隠したことは認めます。","話しにくい事情が関わっていました。夫婦間の衝突を恐れて隠したことは認めます。","mid band에서 가족/시댁 갈등을 명시해 d-1 진실 방향을 앞당김. late/full reveal 전에는 추상화 필요."
"src/data/scriptedText/spouse-01.ja.json::channels.dossier.entries[0-2].questionText","dossier","dc-1.b.q1","P1","D1 meaning/cultural","외도나 다른 사정이 있었다면 / 불륜 상대가 아니라 형과 조카였다면","外道や他の家事 / 外道相手","不倫ではなく別の事情だったなら / 不倫相手ではなく兄と兄の子だったなら","外道는 불륜이 아니라 극단적 비난어이고, 家事는 집안일/가사로 오독됨."
"src/data/scriptedText/spouse-01.ja.json::channels.dossier.entries[3-5].questionText","dossier","dc-2.b.q1","P1","D1 meaning/cultural","시댁 갈등을 더 두려워했습니까?","隠された理由が外道でなければ、あなたは妻よりもシデンとの戦いを恐れているのでしょうか？","隠した理由が不倫でないなら、あなたは妻に話すことより義実家との対立を恐れていたのでしょうか。","시댁이 シデン으로 음차되고 外道가 반복되어 질문 의미가 무너짐."
"src/data/scriptedText/spouse-01.ja.json::channels.interrogation.entries[*].variants[2,5,8].text","scriptedText/interrogation","pattern:ブラックボックス","P1","D2 terminology/cultural","블랙박스 기록","ブラックボックスの記録 / ブラックボックスの履歴","ドライブレコーダーの記録 / ドライブレコーダーのGPS履歴","일본어 화자에게 ブラックボックス는 차량 dashcam 의미가 약함. phase1/generated는 ドライブレコーダー를 이미 사용 중."
"src/data/scriptedText/spouse-01.ja.json::channels.interrogation.entries[33-35].variants[*].text; src/data/scriptedAngles/spouse-01_interrogation_answers.ja.json::answers[*].variants[*].text","dialogue/scriptedAngles","pattern:甥","P1","D3 consistency/glossary","개인회생 중인 친형의 조카(중2)","兄が甥と暮らしていた場所 / 甥の世話","兄の子 / 姪 (storyline 확정 시 한쪽으로 통일)","generated와 truth-leak matrix는 姪 중심인데 scriptedText/answers는 甥를 반복 사용. 조카 성별/호칭 불일치로 hidden keyword 검출도 빗나감."
"src/data/scriptedText/spouse-01.ja.json::channels.interrogation.entries[21+].variants[*].text","scriptedText/interrogation","pattern:深夜","P1","D3 continuity","새벽 전화 / 새벽 통화","深夜のあの時間帯 / 深夜の電話","早朝のあの時間帯 / 早朝の電話","matrix와 phase1은 早朝로 고정되어 있는데 일부 scriptedText는 深夜로 번역되어 시간대 단서가 흔들림."
