priority,locale,key_or_source,issue,recommendation
P0,ko|ja|zh-CN,glossary.csv lines 30 / 100 / 103 / 105 / 108 / 109 / 110 / 138 / 139 / 140,"CJK encoding corruption — 11 rows have CJK characters replaced with `?` placeholders. Affected fields: KO source values (verdict_step_* lines 138-140 + lie_state_s4/s5 lines 109-110), JA values (lie_state_s0/s4/s5 + 3 verdict_step_*), zh-CN values (emotion_defensive + emotion_angry + lie_state_s0/s3/s4/s5 + 3 verdict_step_*), and the responsibility row note text (line 30 has `JA uses ???? and zh-CN uses ????`). The `npm run localization:glossary` validator PASSED despite the corruption — `?` is treated as a valid character.","BLOCKING. Codex must restore all CJK with proper UTF-8 encoding. Canonical values per src/i18n/messages/verdict.ts (which is encoded correctly): see GLOSSARY_VS_KEY_DELTAS.csv `canonical_value` column. Also extend scripts/validate-glossary.* to reject `?` placeholder content + reject empty CJK fields when sibling locales have value."
P0,all,validate-glossary script gap,"`localization:glossary` PASS does not detect `?` placeholder content. Encoding corruption silently committed. Linter is not catching what the recheck did.","Add a check in scripts/validate-glossary.* that rejects any value containing 2+ consecutive `?` characters in non-Latin column positions, AND rejects values like `?? ??` / `01 ???` patterns. Add to npm run check:all guard. Without this, future encoding round-trips will recur."
PASS,all,decision 1 (numeric prefix) still applied,"verdict.ts: KO retains `01 / 02 / 03 / 04` prefix; en/ja/zh-CN drop. Glossary disambiguator KO sources include `01` / `03` / `04` prefix per Codex (when not corrupted by encoding bug).",no action
PASS,en|ja|zh-CN,decision 5 (compact aliases) call sites wired,"PCBottomDock.tsx renders all 9 .compact keys: 6 slot.*.compact (lines 523-560) + 3 special.*.compact (lines 507-513). Title attribute uses .label form (full text) for accessibility tooltip. Pattern is correct and EN-only effective (JA / zh-CN .compact = .label by design).",no action
PASS,en|ja|zh-CN,6 sibling component migrations,"All 6 components show i18n call coverage: PCCourtLayout 51 t() calls / PCActionsPanel 32 t() calls / PCInteractionPanel 79 translate() calls / PCRecordSummary 50 calls / ArchetypeTag 4 calls + uses MessageKey type / hotbarHighlight 3 calls (now keyword-pattern via translate). Note: PCInteractionPanel uses sync translate() helper instead of useI18n hook — both wired to the same store, no functional difference.",no action — confirm style consistency in next pass.
PASS,en|ja|zh-CN,13 KO compound labels removed from 6 sibling components,"grep for `사실 추궁` / `분리 심문` / `법정 장악` etc. across `src/components/pc` returned only PCTestConsole / MiniGameFrame / PCJudgeProgressionPanel as remaining sites. Six target components are clean.",no action — out-of-scope sites flagged below.
PASS,all,forbidden-brand guard (PC scope),"grep for `Project Solomon` / `Solomon's Dilemma` / `Solomon Court` / `ソロモン法廷` / `所罗门的法庭` / `所罗门的两难` / `所罗门困境` across `src/i18n/messages/**` and `src/components/pc/**` returns zero matches. Legacy `src/app/App.tsx` + `src/components/layout/IntroSlides.tsx` (mobile/web path, out of PC scope) still contain `현대판 솔로몬` — informational only.",no action.
PASS,all,disclosure-policy lexeme — PC home intro slide brand,"`pc.home.intro.slide.digitalCourt.title` per locale: KO=`현대판 솔로몬이 되어 갈등을 해결해주세요.` (allowed); EN=`Step onto the bench and untangle every dispute yourself.` (brand-clean); JA=`現代のソロモンとなり、争いを解きほぐしましょう。` (allowed); zh-CN=`走上审判席，亲手解开每一场冲突。` (brand-clean). All 4 comply with brand rules.",no action.
PASS,all,disclosure-policy lexeme — abstract gating retained,"`pc.verdict.fact.locked` keeps abstract gating in all 4 locales. `pc.verdict.factOption.partyClaimCorrect` uses `{party}` placeholder. Truth-mechanic UI strings (record summary truth-progress) are abstract not case-specific.",no action.
P1,ja,layout.ts:645 pc.record.noConfirmedFacts uses 真実 not 真相,"JA value `まだ争点単位で確定した真実はありません。` uses 真実. Glossary truth=真相. Conflict with the same patch already applied in court.ts:74 (`pc.verdictAdvance.conditionsMissing`) where 真相 was used. Inconsistent application of the Thread-02 truth=真相 alignment patch.","Single-character patch: 真実→真相. Apply at layout.ts:645."
P2,ja,intro slide JA uses 真実 aligning with locked brand subtitle 真実の裁き,"home.ts JA values for `pc.home.intro.slide.digitalCourt.body` (`食い違う真実を見極める`) and `pc.home.intro.slide.conflict.title` (`食い違う真実に目を向けましょう`) use 真実. Glossary truth=真相. Codex appears to have aligned intro-slide JA copy with the locked brand subtitle 真実の裁き. Stylistic but inconsistent.","Native review decision. Two acceptable resolutions: (a) keep 真実 as deliberate brand-cohesion choice and document in glossary truth row note, or (b) align to glossary 真相 except in locked brand keys. Recommend (a) — brand cohesion outweighs glossary purity for hero copy."
P2,all,sibling component i18n style differs (translate() vs useI18n hook),"PCInteractionPanel uses sync `translate()` helper (79 calls); PCCourtLayout / PCActionsPanel / PCBottomDock / PCVerdictScreen use `useI18n().t()` hook. Both correct but inconsistent style across sibling components.","Stylistic. Document the choice in i18n module README — translate() for module-level constants, t() for component scope. No functional issue."
P2,all,3 remaining `법정 장악` inline KO literals,"grep found inline KO `법정 장악` in: PCTestConsole.tsx:11 (debug, `data-screen-bucket=...`), MiniGameFrame.tsx:17 (minigame), PCJudgeProgressionPanel.tsx:51 (profile). Out of recheck scope.","Flag for next Codex pass. PCTestConsole is debug-only (low priority); PCJudgeProgressionPanel is shipped UI (P1 once profile namespace gets coverage)."
P2,all,9 hardcoded toast/dialogue literals (Thread-02 P1 carry-over),"PCInteractionPanel × 2, PCRightPanel × 4, useActionDispatch × 2, resourceSlice × 2 — Thread-02 P1 carry-over still pending. Did not block this batch since out of announced scope.","Flag for next Codex pass. Wire via `pc.toast.*` / `pc.dialogue.system.*` / `pc.resource.recovery.*.failure` namespace per Thread-02 SOURCE_STRING_MAP."
P2,all,observation Set migration deferred,"Decision 6 sequence: SLIDES (done) → EMOTION_LABELS (done) → observation Set (still pending). Stringly-typed Set keys (LOW_VALUE_OBSERVATION_TITLES / IMPORTANT_EVENT_OBSERVATION_TITLES) still use KO string keys. Filter logic will silently fail post-translation.","Flag for next Codex pass. Decouple Set keys (internal id) from labels (t()-rendered)."
P2,all,legacy App.tsx + IntroSlides.tsx contain `현대판 솔로몬`,"src/app/App.tsx:324 + src/components/layout/IntroSlides.tsx:10 still inline `현대판 솔로몬`. These are legacy mobile/web entry points, NOT PC mode (which uses src/app/PCApp.tsx). Out of PC restart scope.","Informational only. If mobile/web path is being deprecated, no action. If kept active, will need separate locale pass with brand-clean EN/zh-CN values."
PASS,all,scripts.ts namespace exists for sidecar data,"`src/i18n/messages/scripts.ts` (38 lines) registered. The user's `npm run localization:scripts:validate` PASS with KO fallback warning matches the expected sidecar-not-yet-generated state.",no action.
