id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.eyebrow,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.eyebrow,개인정보 안내,Privacy Notice,プライバシー案内,隐私说明,메인 세션 1차 작성. 텔레메트리 동의 모달 eyebrow 라벨. UI 짧고 명확.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.title,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.title,익명 사용 데이터 수집 안내,Anonymous Usage Data Collection,匿名利用データ収集のご案内,匿名使用数据收集说明,메인 세션 1차 작성. 텔레메트리 동의 모달 제목.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.body1,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.body1,"게임 개선을 위해 사건 진행 단계, 선택한 행동 종류, 증거 ID, 쟁점 ID 같은 익명 통계만 수집합니다. 자유 질문 원문, 대화 내용, 개인정보성 텍스트, Steam ID는 수집하지 않습니다.","To improve the game, we collect only anonymous statistics such as case progress stages, action type selections, evidence IDs, and issue IDs. We do not collect free-text questions, conversation content, personal text, or Steam IDs.","ゲーム改善のために、事件の進行段階、選択した行動の種類、証拠ID、争点IDといった匿名統計のみを収集します。自由質問の原文、会話内容、個人情報に類するテキスト、Steam IDは収集しません。","为改进游戏，我们仅收集案件进展阶段、所选行动类型、证据 ID、争点 ID 等匿名统计。不会收集自由提问原文、对话内容、个人信息类文本和 Steam ID。",메인 세션 1차 작성. 텔레메트리 동의 모달 본문 1단락. 약관 톤.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.body2,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.body2,"수집 실패나 네트워크 오류는 게임 진행에 영향을 주지 않습니다. 이 설정은 언제든지 설정 화면에서 끌 수 있습니다.","Collection failures or network errors do not affect gameplay. You can turn this off at any time from the settings screen.","収集失敗やネットワーク エラーはゲーム進行に影響しません。この設定は、いつでも設定画面からオフにできます。","收集失败或网络错误不会影响游戏进行。您可以随时在设置中关闭此项。",메인 세션 1차 작성. 텔레메트리 동의 모달 본문 2단락.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.toggle,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.toggle,사용 데이터 수집 허용,Allow Usage Data Collection,利用データの収集を許可,允许收集使用数据,메인 세션 1차 작성. 모달 내 토글 라벨.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.toggleDesc,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.toggleDesc,익명 통계로 게임 개선에 사용됩니다.,Used as anonymous statistics to improve the game.,匿名統計としてゲーム改善に使用されます。,用作匿名统计以改进游戏。,메인 세션 1차 작성. 모달 내 토글 부제.
ui_i18n_message_src_i18n_messages_settings.ts_settings.consent.telemetry.cta,ui_i18n_message,src/i18n/messages/settings.ts,,settings.consent.telemetry.cta,동의하고 시작,Agree and Start,同意して開始,同意并开始,메인 세션 1차 작성. 모달 CTA 버튼. 짧은 행동 유도.
ui_i18n_message_src_i18n_messages_settings.ts_settings.data.telemetry.group,ui_i18n_message,src/i18n/messages/settings.ts,,settings.data.telemetry.group,사용 데이터,Usage Data,利用データ,使用数据,메인 세션 1차 작성. 설정→데이터 카테고리 텔레메트리 그룹 제목.
ui_i18n_message_src_i18n_messages_settings.ts_settings.data.telemetry.toggle,ui_i18n_message,src/i18n/messages/settings.ts,,settings.data.telemetry.toggle,사용 데이터 수집 허용,Allow Usage Data Collection,利用データの収集を許可,允许收集使用数据,메인 세션 1차 작성. 설정 화면 토글 라벨. 동의 모달 토글과 동일 의도.
ui_i18n_message_src_i18n_messages_settings.ts_settings.data.telemetry.toggleDesc,ui_i18n_message,src/i18n/messages/settings.ts,,settings.data.telemetry.toggleDesc,"익명 통계로 게임 개선에 사용됩니다. 자유 질문이나 대화 내용은 절대 수집하지 않습니다.","Used as anonymous statistics to improve the game. Free-text questions and conversation content are never collected.","匿名統計としてゲーム改善に使用されます。自由質問や会話内容は決して収集しません。","用作匿名统计以改进游戏。绝不收集自由提问或对话内容。",메인 세션 1차 작성. 설정 화면 토글 부제 (모달 부제보다 길고 강조).
non_party_scripted_text_src_data_scriptedText_friend-01_channels_aftermath_.entries_protective_resolution_.variants_protective_resolution-v3_.text,non_party_scripted_text,src/data/scriptedText,friend-01,channels[aftermath].entries[protective_resolution].variants[protective_resolution-v3].text,"판결 뒤 두 사람은 서로를 다시 친구라고 부르기보다, 서로를 더 망가뜨리지 않는 방법부터 골랐다. 다은은 확인 없는 글을 정정했고, 수민은 과거 피해를 비공개 기록으로 남겼다. 아버지의 문제는 별도 확인 절차로 넘기고, 예비신랑의 행동도 다은이 직접 마주하기로 했다. 공개적 폭로 대신 제한된 정리로 끝낸 것은, 남은 삶까지 사건으로 만들지 않기 위한 선택이었다.","After the ruling, the two chose first not to damage each other further, rather than call each other friends again. Da-eun corrected the unverified post, and Su-min recorded the old harm privately. The father issue moved to a separate verification process, and Da-eun would face the fiancé's conduct directly. Limited整理 replaced public disclosure.","判決後、二人は再び友人と呼び合うより先に、これ以上互いを壊さない方法を選んだ。ダウンは確認のない投稿を訂正し、スミンは過去の被害を非公開記録として残した。父の問題は別の確認手続きへ移し、婚約者の行動もダウンが直接向き合うことになった。公開暴露ではなく、限定された整理で終える選択だった。","宣判后，两人没有急着重新称彼此为朋友，而是先选择不再进一步伤害对方。多恩更正未经确认的帖子，秀敏把过去受害留下非公开记录。父亲的问题转入单独确认程序，未婚夫的行为也由多恩亲自面对。结尾不是公开揭露，而是有限整理。","P0 fix. EN/JA/ZH-CN 3개 모두 한국어 4번째 문장(""...남은 삶까지 사건으로 만들지 않기 위한 선택이었다"") 절단. EN에는 추가로 중국어 '整理' 잔류. KR 4문장 전체 의미를 살려 EN/JA/ZH-CN 모두 완전 재번역. friend-01 aftermath 마무리 emotional beat이라 톤 보존 중요."
