source_ko,proposed_en,context,path_or_key,relation_to_ui_glossary,risk,notes
재판관님,Your Honor,"In-character vocative when a party or witness addresses the player judge. Embedded as a tag value (judgeAddress:재판관님) and in literal lines.","scriptedText/*.json variants[].text + tags judgeAddress:재판관님; phase1/*.json speaker:a/b lines",extends,medium,"UI glossary judge=Judge but no vocative form. Verdict Zero is a courtroom register — Your Honor reads naturally; Judge as vocative reads stiff. Recommend locked entry."
제 남편,my husband,"Self-referential party A → judge addressing party B (spouse-01). Tag callTerm:제_남편.",scriptedText/spouse-01 + phase1/spouse-01,new_script_term,low,"Recurring relationship vocative — needs locked EN form per case for consistency. spouse-01 only uses 남편/아내; family-01 uses 형/동생; friend-01 uses 친구."
제 아내,my wife,Same as above for party B addressing party A.,scriptedText/spouse-01 + phase1/spouse-01,new_script_term,low,Same.
오피스텔,studio apartment,"Korean real-estate term (small studio with hotel-style facilities). Loaded with cultural connotation — frequent recurrence in spouse-01 (오피스텔 방문, 형의 오피스텔).","scriptedText/spouse-01.json (interrogation/evidence_present/witness/judge_question/dossier/aftermath); cases/generated/spouse-01.json",new_script_term,medium,"No EN equivalent that carries the implication of ""apartment-cum-discrete-space"". Recommend studio apartment with optional first-mention parenthetical (one-room studio). Avoid condo, flat, hotel-room. Locked candidate."
블랙박스,dashcam,"Korean colloquial for vehicle dash camera. Dashcam is the standard EN term.",scriptedText/spouse-01 evidence_present + phase1/spouse-01 ""블랙박스를 확인해 보고""…,new_script_term,low,Locked candidate.
네비 즐겨찾기,GPS bookmarks,"Korean shorthand for navigation app saved locations.",phase1/spouse-01 ""네비 즐겨찾기에는 그 주소가 저장돼 있었습니다"",new_script_term,low,Alt: navigation favourites. Locked candidate.
공동 적금,joint savings account,"Korean banking concept (locked savings instrument). Joint savings is the playable equivalent.",scriptedText/spouse-01 d-2 + dispute names + evidence e-7,new_script_term,medium,"적금 specifically = installment savings account (locked term, not a checking account). joint savings reads correctly to EN players without overspecifying. Locked candidate."
위임장,power of attorney,"Document granting financial authority. Spouse-01 hidden truth h-d3 = forged 위임장.","scriptedText/spouse-01 + cases/generated/spouse-01 (truth field, h-d3)",new_script_term,medium,"Truth-channel only — judge/system/dossier must not say this before S5. EN translation safe; surface-only constraint applies the same way."
개인 비자금,personal slush fund,"Hidden personal money. Spouse-01 d-2 = B's 비자금. family-01 has 비자금 in different sense.",scriptedText/spouse-01 + spouse-01_special_scripts.json confessions[2,3],new_script_term,medium,"slush fund carries the right secrecy connotation. Alt: personal stash. private savings reads too neutral."
투자 사기,investment fraud,Spouse-01 h-d3 hidden truth.,"scriptedText/spouse-01 + cases/generated/spouse-01 truthTable, h-d3",new_script_term,low,Locked candidate.
영수증,receipt,Common term — but in spouse-01 it's a key evidence label (영수증 묶음 5장 = surfaceName for e-1).,scriptedText/spouse-01 e-1 + phase1/spouse-01,new_script_term,low,"receipt bundle / stack of receipts for the surface label. Recommend ""bundle of receipts (5)"" for the surfaceName ""영수증 묶음 5장""."
유서,will,"family-01 d-1 truth. Distinct from 위임장.",scriptedText/family-01 + cases/generated/family-01,new_script_term,low,Locked candidate.
공증,notarization / notarised,"family-01 — 공증본 = notarised copy.",scriptedText/family-01 + cases/generated/family-01,new_script_term,low,Locked candidate.
