"row_id","channel","key","severity","issue_dim","kr_snippet","target_snippet","recommendation","note"
"src/data/scriptedText/family-01.ja.json::channels.interrogation.entries[0-35].variants[*].text","dialogue","family-01 d-1 interrogation","P0","D2;lieState","유서 작성/판단능력 의심을 각 variant별로 말함","遺言書の作成手続きと母の状態 / 面会記録と元介護士の証言 반복 템플릿","각 variant를 KO 원문에서 재번역하고 반복 템플릿 문장을 삭제. 예: 遺言書には、私の取り分が弟より少なく書かれていました...","§1(1)(3): exact hidden keyword는 아니지만 S0/S1 의미가 증거 정리 발화로 바뀜. static detector 한계 영역."
"src/data/scriptedText/family-01.ja.json::channels.interrogation.entries[36-71].variants[*].text","dialogue","family-01 d-2 interrogation","P0","D2;lieState","동생이 유서에 손댔다고 의심하거나 부인하는 단계별 발화","公証本と自筆練習本の差を見て、私はもう答えを察していたのです。","KO variant별 의미로 재번역. 自筆練習本은 自筆下書き로 통일.","§1(1)(2)(3): S0부터 공증본/자필본 축으로 템플릿 치환. 의미 뒤바뀜 + 법률 문서 용어 흔들림."
"src/data/scriptedText/family-01.ja.json::channels.interrogation.entries[72-107].variants[*].text","dialogue","family-01 d-3 interrogation","P0","D2;lieState","어머니가 도와준 돈이라고 믿었다는 형의 방어","母の通帳の流れと家族間の資金 / 年代物の口座記録 반복","KO의 믿음/오해/방어 발화를 직접 재번역하고 계좌 흐름 템플릿을 제거.","§1(3): '돈의 출처'는 surface 영역일 수 있으나 S0 발화가 원문에 없는 증거 분석문으로 바뀜."
"src/data/scriptedText/family-01.ja.json::channels.interrogation.entries[108-143].variants[*].text","dialogue","family-01 d-4 interrogation","P0","D2;lieState","형과 관련된 가족 사정을 모르는 상태의 질문/방어","母の記録と家の繊細な事情を見て、私はもう答えを察していたのです。","출생 비밀을 직접 밝히지 않는 KO 완곡 발화로 재번역. 母の記録/家の繊細な事情 템플릿 삭제.","§1(3): exact hidden 出生の秘密는 S5 전에는 없음. 그러나 d-4 S0~S4가 일기/가족 기록 템플릿으로 조기 프레이밍됨."
"src/data/scriptedText/family-01.ja.json::channels.interrogation.entries[144-179].variants[*].text","dialogue","family-01 d-5 interrogation","P0","D2;lieState","두 형제의 책임과 어머니 뜻 왜곡을 단계별로 묻는 발화","兄弟それぞれの母との距離を見て、私はもう答えを察していたのです。","KO의 책임 구조/어머니 뜻 발화를 각 variant별로 재번역하고 '距離' 템플릿을 제거.","§1(1): d-5 책임 구조가 추상적 거리 설명으로 바뀌어 자백/책임의 결이 약화됨."
"src/data/scriptedText/family-01.ja.json::channels.evidence_present.entries[6-17].variants[*].text","scriptedText","e-2 visit record evidence_present","P1","D6;cultural","요양원 방문기록 / 방문이 유서 이야기와 겹친 날","療養院の面会記録","介護施設の訪問記録로 통일하고 각 KO variant 의미를 보존.","§1(2): glossary locked term 위반. 療養院/面会記録은 일본어 법정 UX에서 낡고 불안정함."
"src/data/scriptedText/family-01.ja.json::channels.evidence_present.entries[13-17].variants[*].text","scriptedText","e-3 caregiver audio evidence_present","P1","D6;cultural","전 요양보호사 음성증언","元介護士の音声証言","元介護職員の音声証言으로 통일.","§1(2): glossary는 元介護職員の音声証言. 介護士 약칭 반복."
"src/data/scriptedText/family-01.ja.json::channels.evidence_present.entries[30-35,132-149].variants[*].text","scriptedText","e-6 old account trail","P1","D2;D6","3억이 형의 공장으로 전달 / 어머니 통장을 거친 돈의 출처","年代物の口座記録 / 年代物の口座の流れ","古い口座の流れ를 기준 용어로 쓰고 금액·책임·전달 순서를 KO대로 재번역.","§1(1)(2): 의미 핵심인 3억/책임이 빠지는 variant가 있고 年代物の口座는 용어가 과장됨."
"src/data/scriptedText/family-01.ja.json::channels.evidence_present.entries[36-41,150-167].variants[*].text","scriptedText","e-7 mother diary evidence_present","P1","D2;lieState","어머니 일기장과 가족 사정, 침묵 이유","母の日記 / 家の繊細な事情 템플릿","일기장 공개 단계별 KO 의미를 보존하되 出生の秘密 직접 노출은 late/S5 이전 회피.","§1(3): hidden keyword exact match는 없지만 일기장 축이 많은 early/mid 답변에 템플릿으로 선노출됨."
"src/data/scriptedText/family-01.ja.json::channels.dossier.entries[0-5].questionText","dossier","dc-1 questionText","P1","D4;disclosure","윤정후 씨, 공증 직전 방문이 급증했고... / 어디까지는 돕고 어디서부터는 대신 결정한 것입니까?","","ユン・ジョンフさん、公証直前に訪問が急増し、母に紙を読み聞かせた状況まであります。なぜ兄が来る前に終わらせようとしたのですか。","JA dossier questionText 누락. player-facing 질문이 비거나 fallback될 위험."
"src/data/scriptedText/family-01.ja.json::channels.dossier.entries[6-11].questionText","dossier","dc-2 questionText","P1","D4;disclosure","자필 연습본과 60대40 공증본 / 위조 책임을 감수한 이유","","ユン・ジョンフさん、同じ日に最初に書かれた自筆下書きと60対40の公証本が残っています。なぜ自分の取り分を減らした書類を出し直したのですか。","JA questionText 누락. 自筆下書き 용어로 보강 필요."
"src/data/scriptedText/family-01.ja.json::channels.dossier.entries[12-17].questionText","dossier","dc-3 questionText","P1","D4;disclosure","20년 정기 지원금과 형 사업장 자금 상당수가 실제로는 당신 돈이었다는 점","","ユン・ジョンフさん、20年にわたる定期支援金と兄の事業資金の相当部分が実はあなたのお金だった点を、今も否定しますか。","JA questionText 누락. 금액/지원금 축은 evidence unlock 후 질문으로만 노출."
"src/data/scriptedText/family-01.ja.json::channels.dossier.entries[21-23].questionText","dossier","dc-4.b.q2 questionText","P1","D4;disclosure","형이 그 사실을 알면 삶의 기반이 무너질까 두려워...","","お兄さんがその事実を知れば人生の土台が崩れると恐れ、結局は法廷まで行かせまいとしたということですか。","JA questionText 누락. 出生の秘密라는 직접어 없이 KO 완곡성을 유지."
