check,locale,surface,result,evidence,notes
forbidden_lexeme_non_S5,en,scriptedText/spouse-01.en.json,PASS,non-S5 leaks=0 / S5 hits=439,"This-thread independent audit. Walked entry.lieState across 18 channels with 12 EN truth lexemes (nephew/niece/brother/older brother/my brother/sister-in-law/power of attorney forgery/investment fraud/school supplies/school notice/brother-in-law/brother's). Zero non-S5 leaks. S5 hits increased from 320 (baseline) to 439 (post-polish) — Thread-25 anchor[0] strengthening confirmed."
forbidden_lexeme_non_S5,en,scriptedAngles/spouse-01_interrogation_answers.en.json,PASS,non-S5 leaks=0 / S5 hits=1878,"This-thread independent audit. Largest surface — 7,920 variants × 6 lieStates × 132 entries. Zero non-S5 leaks. S5 hits increased from 1,670 (baseline) to 1,878 (post-polish)."
forbidden_lexeme_non_S5_thread25,en,scriptedText.interrogation + interrogation_answers,PASS,Thread-25 TRUTH_BOUNDARY_SUMMARY.json: total violations=0 / bySurface={},Thread-25 audit ran the same gate before/after polish — 0 violations both times. Preserved at 0.
brand_guard,en,scriptedText/spouse-01.en.json,PASS,Solomon=0 / Project_Solomon=0,Independent regex sweep on full sidecar string dump.
brand_guard,en,scriptedAngles/spouse-01_interrogation_answers.en.json,PASS,Solomon=0 / Project_Solomon=0,Independent regex sweep on full sidecar string dump.
brand_guard_thread25,en,both polished surfaces,PASS,Thread-25 TRUTH_BOUNDARY_AUDIT.csv: 0 brand violation rows,Thread-25 audit + this-thread independent audit converge on 0.
S5_truth_disclosure_present,en,scriptedText spouse-01 b|d-1|S5|fact_pursuit,PASS,"v1: 'Your Honor, I was caring for my nephew at my older brother's studio apartment, and the late-night calls and receipts were tied to that, not to any affair…' / v2: 'The plain truth on this charge is that I was caring for my nephew at my older brother's studio apartment — every visit, every call, every receipt traces back there…' / v3: 'On a clean reading of the records, the route, hours, and items all map to caring for my nephew at my older brother's studio apartment, and that is the whole picture…'","Three structurally distinct S5 openers, all carrying licensed truth lexemes (nephew + older brother + studio apartment). Negative validator (truth MUST appear at S5) passes."
S5_truth_disclosure_present,en,scriptedText spouse-01 b|d-2|S5|motive_search,PASS,"v1: 'Your Honor, I handed the cash to my older brother for personal-debt rehabilitation reasons that I needed to protect…' / v2: 'What drove me to keep the cash invisible was not guilt over having spent it on myself — it was the fear that revealing my older brother's debt would expose family details I had no right to share…' / v3: 'Each step of secrecy around the money was about protecting my older brother's situation from my in-laws…'",Three structurally distinct S5 openers carrying licensed truth (older brother + cash + debt + protection motif).
S5_truth_disclosure_present,en,interrogation_answers b|d-1|S5|fact_pursuit|general,PASS,"v1: 'I was caring for my nephew at my older brother's studio apartment, and the late-night calls were urgent contact with my brother. Every detail in the records traces to that.' / v2: 'My older brother's studio apartment was the place those visits led to, and my nephew was the reason I was there. Even when measured strictly, that is the order.' / v3: 'On those nights, the calls were from my older brother and the visits were to look after my nephew — that is the actual order of it…'",Variants v4–v10 use the same Sentence-A pool by `variantIdx % 3` cycling. All 10 carry licensed truth.
S5_strength_aggregate,en,both polished surfaces (1560 S5 variants),PASS,"Thread-25 TRUTH_BOUNDARY_SUMMARY.json: strongS5Variants=1205 / weakS5Variants=355 / strongS5Ratio=0.772 (was 0.686 baseline)","S5 strength up 8.6 pts. The 22.8% weakS5 are variants where licensed truth tokens fell into Sentence-B/C rather than Sentence-A — narratively still valid (variant text reads as confessional follow-up anchored on previously-established truth). Brief recheck #4 explicitly accepts this: 'Do not require 100% substring detector strength if the full variant text still reads as a valid confession.'"
S5_strength_acceptance,en,both polished surfaces,PASS,Brief #4 explicitly waives 100% substring detection if narrative reads valid as confession,"77.2% strong substring + remaining 22.8% narratively-valid follow-up = full bucket-cycle exposure to truth across 10 variants. Player encounters truth lexemes in 3 of 10 variants (Sentence-A pool index 0/1/2 cycle) plus all Sentence-B/C contexts that reference the established truth."
non_lieState_channel_softening_status,en,scriptedText aftermath / dossier-late / witness-full / etc,UNCHANGED_FROM_THREAD24,Thread-25 polish scope was scriptedText.interrogation + interrogation_answers only,"Thread-24 P1 design gap (non-lieState channel softening) is OUTSIDE Thread-25 polish scope. Validator gate decision still pending PROJECT_CONTROL_TOWER. NOT a recheck regression. NOT a P0/P1 blocker for family-01/friend-01 expansion (locale-side hardening accepted as deliberate v1 design — see Thread-24 SUMMARY §9 Tier 1)."
ko_source_unmodified_by_polish,(all),src/data/scriptedText/spouse-01.json + scriptedAngles/* + dialogues/mediation/* + cases/generated/*,PASS,git diff --stat per file = '<no change>' for all 6 KO source files,"Phase1 KO file modified earlier by v3 P0 review (approved). Thread-25 polish did not touch any KO source. Brief recheck #5 honored."
