priority,locale,key_or_source,issue,recommendation
P0,zh-CN,scope coverage,"Thread-03 produced 282 message-key proposals vs Thread-01 EN 504 / Thread-02 JA 825. zh-CN GLOSSARY_AUDIT marks 39 entries `unused` (vs EN 21 / JA 23) — coverage gap, not real glossary mismatch.","Re-run Thread-03 with the same source-area inventory used by Thread-02 (36 files). Use Thread-02 SOURCE_STRING_MAP.csv as the master KO key list and ensure zh-CN target column is filled for every key before integration."
P0,ko,법정 장악 ↔ 법정 지배력,"All 3 translation threads independently flagged. Same court-control resource appears under two KR labels: PCCourtLayout.tsx:319 (법정 장악), PCCourtLayout.tsx:458 (법정 지배력), PCInteractionPanel.tsx:685 (법정 지배력이 부족합니다).","KO-side cleanup before this batch lands. Canonicalize to 법정 장악. Add new glossary row court_control (status=draft). EN=Court Control / JA=法廷掌握 / zh-CN=法庭掌控. See GLOSSARY_PATCHES."
P0,ko,조사 토큰 ↔ 조사 자원,"Same investigation-resource concept under two KR labels in PCCourtLayout token button. Glossary already has investigation_token=조사 토큰.","Canonicalize KO source to 조사 토큰. Drop 조사 자원 / 調査リソース / Investigation Resource synonym. Do NOT add investigation_resource as a separate glossary entry (Thread-02 confidence=low / requires_user_decision=true)."
P0,ko,기록 정리 ↔ 기록 요약,"Glossary record_summary KO field is `기록 요약` but every UI surface (court.recordSummary / token.recovery.records.title / right-panel) renders `기록 정리`.","Update glossary record_summary KO field 기록 요약 → 기록 정리. EN field Record Summary → Records (Thread-01 delta). JA field 記録要約 → 記録の整理 (Thread-02 delta). zh-CN unused (Thread-03 did not surface). See GLOSSARY_PATCHES."
P0,ko,자유심문 (mode) ↔ 자유 질문 (slot),"glossary free_interrogation=자유심문 is the gameplay MODE concept; UI hotbar slot label is 자유 질문 (per-turn free-text question). They are different concepts that share semantics. Thread-01 + Thread-02 + Thread-03 all flagged.","Keep free_interrogation glossary entry unchanged (mode-level concept). Add NEW glossary row free_question (status=draft). KO=자유 질문 / EN=Free Question / JA=自由質問 / zh-CN=自由提问."
P0,ko,증거 단계 ↔ 조사 단계,"glossary evidence_stage=증거 단계 is the evidence-depth gauge. PCInteractionPanel uses 조사 단계 for the investigation-depth display, which is a related-but-distinct concept. Thread-02 flagged.","Keep evidence_stage glossary unchanged. Add NEW glossary row investigation_stage (status=draft). KO=조사 단계 / EN=Investigation Stage / JA=調査ステージ / zh-CN=调查阶段."
P0,ko,score axis name collision (판결 / 해결 / 탐구),"Korean character 판결 is BOTH the verdict gameplay concept (glossary `verdict`) AND a score-axis name on the result donut. Same problem with 해결 (`solution` glossary vs `wisdom` axis) and 탐구 (`inquiry` axis vs the trait noun). Thread-01 flagged as P0 disambiguation.","Add 3 NEW glossary rows: score_axis_insight=탐구→Insight/洞察/洞察, score_axis_authority=판결→Authority/権威/权威, score_axis_wisdom=해결→Wisdom/知恵/智慧. Locked to disambiguate from gameplay nouns. Cross-fill JA / zh-CN values during their next pass."
P0,all,brand title structure (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision: split into 4 locked rows — internal_project_name + brand_title + brand_subtitle + brand_full_title. KO=솔로몬의 딜레마: 진실의 재판. EN=Verdict Zero: Trial of Truth. JA=ソロモンのジレンマ：真実の裁き. zh-CN=真相裁决：零点审判. Project_Solomon kept as internal codename only.","Apply 4 new locked glossary rows. Drop Solomon's Dilemma / Solomon's Court / 所罗门的法庭 / 所罗门的两难 — all rejected. Update home.gameTitle / splash.title / splash.subtitle / settings.about.credits to consume brand_full_title (or brand_title + brand_subtitle pair on splash). See GLOSSARY_PATCHES + FINAL_NORMALIZED_TERMS."
P0,all,composed-string template refactor,"Threads 01 + 02 + 03 + 04 all flagged the same call sites where JS string concat won't survive translation. Korean word order does not transfer. EN papers over the issue; JA + zh-CN break. Affected: PCImportantNotesSection (미확인 항목 N개), pcHomeShared (외 suffix), PCHomeScreen resolutionConfirm (초 후), verdictAdvancePrompt 3-fragment compose, PCRecordSummary moreConvincing, PCVerdictScreen:162-165 + 696-700 (party-name interpolation), PCJudgeProgressionPanel:553 (KO particle 을(를)), PCJudgeProgressionShared:97 (name + ' 필요').","Codex BLOCKING task before JA / zh-CN PRs land. Convert each call site to t(key, params). Detailed key proposals in Thread-02 §1 + Thread-03 §2. See IMPLEMENTATION_NOTES."
P0,all,result/verdict/history step prefixes (01 / 02 / 03 / 04),"Thread-04 P0-3 + P0-4: KO arrays hard-code `01 결과 확인 / 02 판결 선고 / ...`. EN sidebar columns truncate. CN/JA also overflow. Thread-01 EN delta currently emits `01 Result / 02 Verdict / 03 Epilogue / 04 Bonus` matching glossary expectation but Thread-04 says drop the numeric prefix on non-KO. CONFLICT.","Resolve in Codex: extract STEPS / TABS / HISTORY_RESULT_TABS to t() keys with KO retaining `01 ` prefix and EN/JA/zh-CN dropping it (Thread-04 P0-4). Update Thread-01 messages.ts proposals: result.tab.result/verdict/epilogue/bonus on EN should be `Result/Verdict/Epilogue/Bonus` (no prefix). JA = 結果/判決/後日談/ボーナス. zh-CN = 结果/判决/后日谈/奖励."
